dataset: credit_score.arff
								--------------
									Fold  1
								--------------
Feature evaluation: MDL (Logical features) - After CI
 0,0923 equity==B2of2 impl total_oper_liabilities
 0,0923 equity==B2of2 impl st_liabilities
 0,0923 equity==B2of2 equ total_oper_liabilities
 0,0923 equity==B2of2 equ st_liabilities
 0,0899 equity==B2of2 impl debt==B2of2
 0,0870 net_income==B2of2 or equity==B2of2 or total_oper_liabilities
 0,0870 net_income==B2of2 or equity==B2of2 or st_liabilities
 0,0870 net_income==B2of2 or equity==B2of2
 0,0870 financial_expenses or net_income==B2of2 or equity==B2of2
 0,0870 EBIT==B1of3 and equity==B2of2
 0,0861 net_income==B2of2 impl debt==B2of2
 0,0861 EBIT==B3of3 impl debt==B2of2
 0,0846 interest==B2of2 or EBITDA==B2of2 or net_income==B2of2
 0,0830 EBIT==B3of3 xor equity==B2of2
 0,0830 EBIT==B3of3 equ equity==B2of2
 0,0818 EBIT==B1of3 or debt==B2of2
 0,0817 equity==B2of2 or FFO==B2of2
 0,0809 cash
 0,0809 EBITDA==B2of2 xor equity==B2of2
 0,0809 EBITDA==B2of2 equ equity==B2of2
 0,0801 EBIT==B1of3 or FFO==B2of2
 0,0767 interest==B2of2 or EBIT==B1of3 or debt==B2of2
 0,0765 net_income==B2of2 or equity==B2of2 or FFO==B2of2
 0,0765 EBIT==B3of3 or net_income==B2of2 or equity==B2of2
 0,0765 EBIT==B3of3 or equity==B2of2
 0,0759 EBIT==B2of3 xor FFO==B2of2
 0,0759 EBIT==B2of3 equ FFO==B2of2
 0,0755 OCF
 0,0715 interest==B2of2 or EBITDA==B2of2 or total_oper_liabilities
 0,0715 interest==B2of2 or EBITDA==B2of2 or st_liabilities
 0,0715 interest==B2of2 or EBITDA==B2of2
 0,0715 financial_expenses or interest==B2of2 or EBITDA==B2of2
 0,0713 financial_expenses or EBITDA==B2of2 or equity==B2of2
 0,0713 EBITDA==B2of2 or equity==B2of2 or total_oper_liabilities
 0,0713 EBITDA==B2of2 or equity==B2of2 or st_liabilities
 0,0713 EBITDA==B2of2 or equity==B2of2
 0,0713 EBIT==B1of3 and equity==B2of2 and debt==B2of2
 0,0707 interest==B2of2 or FFO==B2of2
 0,0707 EBIT==B1of3 or net_income==B2of2 or FFO==B2of2
 0,0702 interest==B2of2 or EBIT==B3of3 or FFO==B2of2
 0,0668 EBIT==B3of3 and debt==B2of2 and FFO==B2of2
 0,0662 EBITDA==B2of2 or net_income==B2of2 or equity==B2of2
 0,0662 EBIT==B3of3 or equity==B2of2 or FFO==B2of2
 0,0661 interest==B2of2 or net_income==B2of2 or FFO==B2of2
 0,0648 EBIT==B2of3 and equity==B2of2 and debt==B2of2
 0,0621 interest==B2of2 or net_income==B2of2 or total_oper_liabilities
 0,0621 interest==B2of2 or net_income==B2of2 or st_liabilities
 0,0621 interest==B2of2 or net_income==B2of2
 0,0621 financial_expenses or interest==B2of2 or net_income==B2of2
 0,0614 interest==B2of2 xor EBIT==B2of3
 0,0614 interest==B2of2 equ EBIT==B2of3
 0,0612 interest==B2of2 impl EBITDA==B2of2
 0,0612 interest==B2of2 and EBIT==B1of3 and debt==B2of2
 0,0612 interest==B2of2 and EBIT==B1of3
 0,0603 interest==B2of2 and debt==B2of2
 0,0576 interest==B2of2 or EBIT==B3of3 or net_income==B2of2
 0,0562 interest==B2of2 or equity==B2of2 or total_oper_liabilities
 0,0562 interest==B2of2 or equity==B2of2 or st_liabilities
 0,0562 interest==B2of2 or equity==B2of2
 0,0562 financial_expenses or interest==B2of2 or equity==B2of2
 0,0551 interest==B2of2 xor total_oper_liabilities
 0,0551 interest==B2of2 xor st_liabilities
 0,0551 interest==B2of2 or total_oper_liabilities or st_liabilities
 0,0551 interest==B2of2 or total_oper_liabilities
 0,0551 interest==B2of2 or st_liabilities
 0,0551 interest==B2of2 impl total_oper_liabilities
 0,0551 interest==B2of2 impl st_liabilities
 0,0551 interest==B2of2 equ total_oper_liabilities
 0,0551 interest==B2of2 equ st_liabilities
 0,0551 interest
 0,0551 financial_expenses xor interest==B2of2
 0,0551 financial_expenses or interest==B2of2 or total_oper_liabilities
 0,0551 financial_expenses or interest==B2of2 or st_liabilities
 0,0551 financial_expenses or interest==B2of2
 0,0551 financial_expenses equ interest==B2of2
 0,0546 financial_expenses xor debt==B2of2
 0,0546 financial_expenses or debt==B2of2 or total_oper_liabilities
 0,0546 financial_expenses or debt==B2of2 or st_liabilities
 0,0546 financial_expenses or debt==B2of2
 0,0546 financial_expenses equ debt==B2of2
 0,0546 debt==B2of2 xor total_oper_liabilities
 0,0546 debt==B2of2 xor st_liabilities
 0,0546 debt==B2of2 or total_oper_liabilities or st_liabilities
 0,0546 debt==B2of2 or total_oper_liabilities
 0,0546 debt==B2of2 or st_liabilities
 0,0546 debt==B2of2 impl total_oper_liabilities
 0,0546 debt==B2of2 impl st_liabilities
 0,0546 debt==B2of2 equ total_oper_liabilities
 0,0546 debt==B2of2 equ st_liabilities
 0,0546 debt
 0,0541 interest==B2of2 xor FFO==B2of2
 0,0541 interest==B2of2 equ FFO==B2of2
 0,0523 EBIT==B2of3 impl FFO==B2of2
 0,0513 interest==B2of2 or net_income==B2of2 or equity==B2of2
 0,0513 interest==B2of2 or EBIT==B3of3 or equity==B2of2
 0,0513 EBIT==B1of3 or equity==B2of2
 0,0503 interest==B2of2 or debt==B2of2 or total_oper_liabilities
 0,0503 interest==B2of2 or debt==B2of2 or st_liabilities
 0,0503 interest==B2of2 or debt==B2of2
 0,0503 financial_expenses or interest==B2of2 or debt==B2of2
 0,0477 interest==B2of2 xor EBIT==B3of3
 0,0477 interest==B2of2 equ EBIT==B3of3
 0,0477 EBIT==B3of3 xor debt==B2of2
 0,0477 EBIT==B3of3 equ debt==B2of2
 0,0465 interest==B2of2 or equity==B2of2 or FFO==B2of2
 0,0465 interest==B2of2 or EBITDA==B2of2 or equity==B2of2
 0,0465 EBIT==B1of3 or net_income==B2of2 or equity==B2of2
 0,0459 financial_expenses
 0,0458 EBIT==B2of3 or debt==B2of2
 0,0455 EBIT==B2of3 impl net_income==B2of2
 0,0436 EBIT==B3of3 and equity==B2of2 and debt==B2of2
 0,0432 interest==B2of2 xor EBIT==B1of3
 0,0432 interest==B2of2 equ EBIT==B1of3
 0,0418 interest==B2of2 and EBIT==B1of3 and equity==B2of2
 0,0418 EBIT==B1of3 or equity==B2of2 or FFO==B2of2
