FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;85,19;85,19;85,19;85,19;85,19;85,19;85,19
Fold2;74,07;70,37;74,07;70,37;74,07;70,37;74,07
Fold3;77,78;74,07;77,78;74,07;77,78;74,07;74,07
Fold4;88,89;81,48;88,89;81,48;88,89;81,48;88,89
Fold5;70,37;77,78;70,37;77,78;70,37;77,78;77,78
Fold6;77,78;81,48;77,78;81,48;77,78;81,48;77,78
Fold7;85,19;85,19;85,19;85,19;85,19;85,19;85,19
Fold8;88,46;84,62;88,46;80,77;88,46;84,62;84,62
Fold9;88,46;88,46;88,46;88,46;88,46;88,46;88,46
Fold10;76,92;76,92;76,92;73,08;76,92;76,92;76,92
