FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;63,64;59,09;63,64;63,64;63,64;59,09;63,64
Fold2;59,09;59,09;59,09;59,09;59,09;59,09;68,18
Fold3;62,79;62,79;62,79;62,79;62,79;62,79;81,40
Fold4;62,79;60,47;62,79;62,79;62,79;60,47;62,79
Fold5;65,12;65,12;65,12;65,12;65,12;65,12;65,12
Fold6;62,79;62,79;62,79;62,79;62,79;62,79;74,42
Fold7;65,12;65,12;65,12;65,12;65,12;65,12;76,74
Fold8;62,79;67,44;62,79;62,79;62,79;67,44;76,74
Fold9;62,79;60,47;62,79;62,79;62,79;60,47;83,72
Fold10;62,79;62,79;62,79;62,79;62,79;62,79;74,42
