FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;92,59;92,59;92,59;88,89;92,59;88,89;92,59;92,59
Fold2;81,48;77,78;77,78;81,48;77,78;77,78;77,78;77,78
Fold3;81,48;77,78;85,19;81,48;81,48;70,37;74,07;81,48
Fold4;92,59;92,59;96,30;92,59;88,89;92,59;92,59;92,59
Fold5;81,48;88,89;88,89;85,19;88,89;88,89;88,89;81,48
Fold6;74,07;74,07;74,07;74,07;70,37;74,07;74,07;74,07
Fold7;77,78;81,48;74,07;74,07;85,19;77,78;77,78;77,78
Fold8;77,78;92,59;81,48;81,48;88,89;88,89;88,89;88,89
Fold9;81,48;85,19;88,89;88,89;85,19;88,89;88,89;88,89
Fold10;85,19;77,78;81,48;81,48;77,78;81,48;81,48;81,48
