dataset: rConcept.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.3163056   118 A2_x_A3
 0.3009236   119 A1_x_A2
 0.2962788   122 A2_x_A4
 0.2946483    34 A2==(50.004845-inf) xor A3==(50.007049-inf)
 0.2946483    25 A2==(50.004845-inf) equ A3==(50.007049-inf)
 0.2828608     7 A2==(50.004845-inf) and A3==(50.007049-inf)
 0.2814603   126 A2_x_A5
 0.2727699    26 A1==(49.97291-inf) equ A2==(50.004845-inf)
 0.2727699    35 A1==(49.97291-inf) xor A2==(50.004845-inf)
 0.2701787    29 A2==(50.004845-inf) equ A4==(50.032252-inf)
 0.2701787    38 A2==(50.004845-inf) xor A4==(50.032252-inf)
 0.2483404    42 A2==(50.004845-inf) xor A5==(50.000179-inf)
 0.2483404    33 A2==(50.004845-inf) equ A5==(50.000179-inf)
 0.2339885     8 A1==(49.97291-inf) and A2==(50.004845-inf)
 0.2031784    20 A2==(50.004845-inf) or A4==(50.032252-inf)
 0.1964848    47 A2==(50.004845-inf) impl A4==(50.032252-inf)
 0.1895352    55 A1==(49.97291-inf) and A2==(50.004845-inf) and A3==(50.007049-inf)
 0.1887033    44 A1==(49.97291-inf) impl A2==(50.004845-inf)
 0.1552518    51 A2==(50.004845-inf) impl A5==(50.000179-inf)
 0.1376932    24 A2==(50.004845-inf) or A5==(50.000179-inf)
 0.1366118    15 A2==(50.004845-inf) and A5==(50.000179-inf)
 0.1265276    57 A2==(50.004845-inf) and A3==(50.007049-inf) and A5==(50.000179-inf)
 0.1012843    52 A2==(50.004845-inf) and A3==(50.007049-inf) and A4==(50.032252-inf)
 0.1010916    11 A2==(50.004845-inf) and A4==(50.032252-inf)
 0.0983191    43 A2==(50.004845-inf) impl A3==(50.007049-inf)
 0.0915198    60 A2==(50.004845-inf) or A4==(50.032252-inf) or A5==(50.000179-inf)
 0.08214      53 A1==(49.97291-inf) and A2==(50.004845-inf) and A4==(50.032252-inf)
 0.0705891    17 A1==(49.97291-inf) or A2==(50.004845-inf)
 0.0526876    59 A1==(49.97291-inf) or A2==(50.004845-inf) or A4==(50.032252-inf)
 0.0429724   100 A2 MULTIPLY A3
 0.0407386    54 A2==(50.004845-inf) and A4==(50.032252-inf) and A5==(50.000179-inf)
 0.0339652    16 A2==(50.004845-inf) or A3==(50.007049-inf)
 0.0316519   101 A1 MULTIPLY A2
 0.0300083    58 A2==(50.004845-inf) or A3==(50.007049-inf) or A4==(50.032252-inf)
 0.0298606     2 A2
 0.029296    109 A2 LESSTHAN A3
 0.0238058   110 A1 LESSTHAN A2
 0.0221175    12 A1==(49.97291-inf) and A3==(50.007049-inf)
 0.020081     64 A2 ADD A3
 0.0197955   105 A1 MULTIPLY A3
 0.0161924    73 A2 SUBTRACT A3
 0.0149959    68 A2 ADD A4
 0.014213     65 A1 ADD A2
 0.0139463   114 A1 LESSTHAN A3
 0.013921    113 A2 LESSTHAN A4
 0.0137167    69 A1 ADD A3
 0.0136753    56 A1==(49.97291-inf) and A3==(50.007049-inf) and A4==(50.032252-inf)
 0.0134972     3 A3
 0.0134029    74 A1 SUBTRACT A2
 0.0123634   123 A1_x_A3
 0.0116371    77 A2 SUBTRACT A4
 0.0110144   108 A2 MULTIPLY A5
 0.0107591    63 A2==(50.004845-inf) or A3==(50.007049-inf) or A5==(50.000179-inf)
 0.0105624    30 A1==(49.97291-inf) equ A3==(50.007049-inf)
 0.0105624    39 A1==(49.97291-inf) xor A3==(50.007049-inf)
 0.009471    102 A3 MULTIPLY A4
 0.0093377    45 A3==(50.007049-inf) impl A4==(50.032252-inf)
 0.009142     72 A2 ADD A5
 0.008943      9 A3==(50.007049-inf) and A4==(50.032252-inf)
 0.008574    116 A1 LESSTHAN A4
 0.0080288    50 A1==(49.97291-inf) impl A4==(50.032252-inf)
 0.0074663   104 A2 MULTIPLY A4
 0.0071193    81 A2 SUBTRACT A5
