FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;88,89;88,89;88,89;88,89;88,89;88,89;88,89;88,89
Fold2;85,19;85,19;85,19;85,19;85,19;85,19;85,19;85,19
Fold3;88,89;88,89;88,89;88,89;88,89;88,89;88,89;88,89
Fold4;92,59;92,59;92,59;92,59;92,59;92,59;92,59;92,59
Fold5;88,89;88,89;88,89;88,89;88,89;88,89;88,89;88,89
Fold6;74,07;74,07;74,07;74,07;74,07;74,07;74,07;74,07
Fold7;77,78;77,78;77,78;77,78;77,78;77,78;77,78;77,78
Fold8;77,78;77,78;77,78;77,78;77,78;77,78;77,78;77,78
Fold9;88,89;88,89;88,89;88,89;88,89;88,89;88,89;88,89
Fold10;74,07;74,07;74,07;74,07;74,07;74,07;74,07;74,07
