FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;85,19;92,59;77,78;81,48;92,59;81,48;85,19;81,48
Fold2;81,48;74,07;77,78;74,07;77,78;74,07;74,07;74,07
Fold3;70,37;77,78;77,78;70,37;70,37;70,37;70,37;70,37
Fold4;85,19;88,89;88,89;85,19;81,48;92,59;85,19;88,89
Fold5;85,19;81,48;77,78;85,19;85,19;85,19;85,19;74,07
Fold6;70,37;70,37;66,67;74,07;70,37;70,37;70,37;70,37
Fold7;77,78;81,48;85,19;88,89;74,07;74,07;81,48;77,78
Fold8;92,59;85,19;92,59;88,89;81,48;81,48;85,19;81,48
Fold9;81,48;77,78;85,19;77,78;85,19;81,48;85,19;81,48
Fold10;81,48;77,78;74,07;81,48;74,07;77,78;77,78;81,48
