FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;88,89;81,48;88,89;85,19;88,89;85,19;88,89
Fold2;77,78;74,07;77,78;74,07;77,78;74,07;74,07
Fold3;81,48;81,48;81,48;85,19;81,48;85,19;85,19
Fold4;85,19;85,19;85,19;85,19;85,19;85,19;85,19
Fold5;77,78;81,48;77,78;88,89;77,78;85,19;81,48
Fold6;88,89;85,19;88,89;92,59;88,89;88,89;88,89
Fold7;70,37;66,67;70,37;77,78;70,37;70,37;70,37
Fold8;76,92;69,23;76,92;76,92;76,92;73,08;76,92
Fold9;80,77;88,46;80,77;73,08;80,77;84,62;73,08
Fold10;73,08;80,77;73,08;80,77;73,08;80,77;80,77
