dataset: cLogicalConcBEasy.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.453   24 A1 xor A4
 0.453   14 A1 equ A4
 0.441   25 A2 xor A5
 0.441   15 A2 equ A5
 0.419   22 A2 xor A4
 0.419   12 A2 equ A4
 0.357   17 A2 xor A3
 0.357    7 A2 equ A3
 0.342   36 A1 impl A5
 0.327    8 A4 equ A5
 0.327   18 A4 xor A5
 0.31    34 A1 impl A4
 0.28     1 A1
 0.253    3 A3
 0.239   33 A3 impl A5
 0.231   30 A3 impl A4
 0.23     5 A5
 0.217   35 A2 impl A5
 0.211    2 A2
 0.209   32 A2 impl A4
 0.207    4 A4
 0.199   27 A2 impl A3
 0.175   28 A4 impl A5
 0.123   31 A1 impl A3
 0.117   29 A1 impl A2
 0        6 A6


								--------------
									Fold  6
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.637   40 num-of-N((A4 = 1) and (A5 = 1) and (A1 = 1))
 0.632   39 num-of-N((A2 = 1) and (A3 = 1) and (A1 = 0))
 0.5     37 (A2 = 1) and (A3 = 1) and (A1 = 0)
 0.5     38 (A4 = 1) and (A5 = 1) and (A1 = 1)
 0.467   21 A1 xor A3
 0.467   11 A1 equ A3
 0.465   26 A1 xor A5
 0.465   16 A1 equ A5
 0.46    14 A1 equ A4
 0.46    24 A1 xor A4
 0.457   10 A3 equ A4
 0.457   20 A3 xor A4
 0.455   12 A3 equ A5
 0.455   22 A3 xor A5
 0.45     9 A1 equ A2
 0.45    19 A1 xor A2
 0.449   13 A2 equ A4
 0.449   23 A2 xor A4
 0.447   15 A2 equ A5
 0.447   25 A2 xor A5
 0.348    8 A4 equ A5
 0.348   18 A4 xor A5
 0.347    7 A2 equ A3
 0.347   17 A2 xor A3
 0.327   36 A1 impl A5
 0.317   34 A1 impl A4
 0.268    1 A1
 0.233   33 A2 impl A4
 0.232   35 A2 impl A5
 0.23    30 A3 impl A4
 0.229    3 A3
 0.228    4 A4
 0.225    5 A5
 0.222    2 A2
 0.22    32 A3 impl A5
 0.177   27 A2 impl A3
 0.173   28 A4 impl A5
 0.128   31 A1 impl A3
 0.12    29 A1 impl A2
 0        6 A6


								--------------
									Fold  7
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.633   39 num-of-N((A2 = 1) and (A3 = 1) and (A1 = 0))
 0.619   40 num-of-N((A4 = 1) and (A5 = 1) and (A1 = 1))
 0.506   37 (A2 = 1) and (A3 = 1) and (A1 = 0)
 0.495   38 (A4 = 1) and (A5 = 1) and (A1 = 1)
 0.472   22 A3 xor A5
 0.472   12 A3 equ A5
 0.468   10 A3 equ A4
 0.468   20 A3 xor A4
 0.467   21 A1 xor A3
 0.467   11 A1 equ A3
 0.458   15 A2 equ A5
 0.458   25 A2 xor A5
 0.457   26 A1 xor A5
 0.457   16 A1 equ A5
 0.455   23 A2 xor A4
 0.455   13 A2 equ A4
 0.45    24 A1 xor A4
 0.45    14 A1 equ A4
 0.446    9 A1 equ A2
 0.446   19 A1 xor A2
 0.354    7 A2 equ A3
 0.354   17 A2 xor A3
 0.332    8 A4 equ A5
 0.332   18 A4 xor A5
 0.324   36 A1 impl A5
 0.314   34 A1 impl A4
 0.253    1 A1
 0.252   30 A3 impl A4
 0.243   32 A3 impl A5
 0.241    3 A3
 0.23     5 A5
 0.228    2 A2
 0.228   35 A2 impl A5
 0.227    4 A4
 0.227   33 A2 impl A4
 0.183   27 A2 impl A3
 0.167   28 A4 impl A5
 0.121   31 A1 impl A3
 0.111   29 A1 impl A2
 0        6 A6


								--------------
									Fold  8
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.632   40 num-of-N((A4 = 1) and (A5 = 1) and (A1 = 1))
 0.629   39 num-of-N((A2 = 1) and (A3 = 1) and (A1 = 0))
 0.505   37 (A2 = 1) and (A3 = 1) and (A1 = 0)
 0.495   38 (A4 = 1) and (A5 = 1) and (A1 = 1)
 0.477   22 A3 xor A5
 0.477   12 A3 equ A5
 0.466   26 A1 xor A5
 0.466   16 A1 equ A5
 0.462   15 A2 equ A5
 0.462   25 A2 xor A5
 0.46    21 A1 xor A3
 0.46    11 A1 equ A3
 0.455   10 A3 equ A4
 0.455   20 A3 xor A4
 0.448    9 A1 equ A2
 0.448   19 A1 xor A2
 0.447   14 A1 equ A4
 0.447   24 A1 xor A4
 0.44    13 A2 equ A4
 0.44    23 A2 xor A4
 0.352   17 A4 xor A5
 0.352    7 A4 equ A5
 0.35     8 A2 equ A3
 0.35    18 A2 xor A3
 0.337   36 A1 impl A5
 0.31    34 A1 impl A4
