FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;77,27;68,18;77,27;77,27;72,73;72,73;68,18;59,09
Fold2;81,82;68,18;77,27;86,36;68,18;77,27;59,09;81,82
Fold3;63,64;72,73;77,27;63,64;68,18;54,55;81,82;77,27
Fold4;59,09;63,64;63,64;63,64;59,09;68,18;72,73;72,73
Fold5;66,67;76,19;71,43;66,67;71,43;61,90;80,95;66,67
Fold6;61,90;71,43;61,90;57,14;71,43;66,67;57,14;66,67
Fold7;66,67;52,38;76,19;61,90;71,43;57,14;61,90;61,90
Fold8;61,90;85,71;66,67;66,67;71,43;61,90;76,19;61,90
Fold9;57,14;57,14;76,19;57,14;61,90;57,14;61,90;57,14
Fold10;71,43;76,19;76,19;66,67;76,19;61,90;80,95;80,95
