FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;83,82;79,19;83,82;83,82;85,55;72,83;79,19;79,19
Fold2;85,55;83,24;85,55;85,55;89,60;75,14;83,24;82,66
Fold3;89,60;81,50;89,60;89,60;90,17;75,72;82,66;83,24
Fold4;83,24;83,24;83,24;83,24;87,86;75,72;83,24;83,24
Fold5;82,66;83,82;82,66;82,66;88,44;78,61;86,13;83,24
Fold6;84,97;80,35;84,97;84,97;88,44;73,41;80,92;78,61
Fold7;87,28;76,30;87,28;87,28;86,13;72,25;78,61;79,19
Fold8;84,97;80,92;84,97;84,97;85,55;73,41;82,08;82,08
Fold9;89,53;84,88;89,53;89,53;90,12;76,74;85,47;84,88
Fold10;83,72;80,23;83,72;83,72;88,37;70,93;79,65;79,65
