FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;88,89;88,89;77,78;81,48;85,19;85,19;81,48;81,48
Fold2;74,07;74,07;74,07;77,78;74,07;74,07;70,37;70,37
Fold3;66,67;74,07;74,07;74,07;70,37;66,67;70,37;70,37
Fold4;85,19;85,19;88,89;88,89;81,48;85,19;81,48;81,48
Fold5;81,48;85,19;88,89;74,07;81,48;77,78;77,78;81,48
Fold6;62,96;74,07;62,96;66,67;77,78;66,67;66,67;66,67
Fold7;74,07;66,67;59,26;66,67;70,37;74,07;74,07;74,07
Fold8;85,19;88,89;85,19;74,07;85,19;85,19;85,19;85,19
Fold9;81,48;85,19;85,19;74,07;88,89;85,19;85,19;85,19
Fold10;66,67;81,48;74,07;74,07;81,48;81,48;81,48;81,48
