FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;82,54;85,71;93,65;100,00;84,13;93,65;92,06;92,06
Fold2;76,19;77,78;98,41;95,24;82,54;90,48;95,24;93,65
Fold3;77,78;80,95;95,24;98,41;82,54;90,48;92,06;92,06
Fold4;84,13;85,71;96,83;95,24;85,71;92,06;95,24;93,65
Fold5;79,37;79,37;95,24;98,41;82,54;87,30;96,83;92,06
Fold6;79,03;77,42;98,39;98,39;79,03;85,48;90,32;96,77
Fold7;77,42;85,48;90,32;95,16;79,03;88,71;91,94;91,94
Fold8;80,65;82,26;93,55;100,00;82,26;83,87;96,77;98,39
Fold9;82,26;87,10;95,16;96,77;85,48;88,71;98,39;95,16
Fold10;87,10;85,48;90,32;98,39;82,26;91,94;93,55;93,55
