FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;88,89;88,89;88,89;85,19;85,19;85,19;85,19
Fold2;70,37;74,07;70,37;74,07;74,07;74,07;74,07
Fold3;74,07;77,78;74,07;74,07;81,48;85,19;81,48
Fold4;81,48;85,19;81,48;81,48;85,19;85,19;85,19
Fold5;70,37;70,37;70,37;85,19;81,48;81,48;88,89
Fold6;85,19;81,48;85,19;77,78;88,89;88,89;81,48
Fold7;77,78;77,78;77,78;85,19;77,78;74,07;85,19
Fold8;80,77;76,92;80,77;73,08;80,77;80,77;76,92
Fold9;84,62;84,62;84,62;88,46;80,77;84,62;84,62
Fold10;76,92;80,77;76,92;84,62;84,62;80,77;76,92
