FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;92,59;88,89;92,59;92,59;92,59;88,89;92,59;92,59
Fold2;88,89;77,78;77,78;81,48;77,78;77,78;77,78;77,78
Fold3;81,48;81,48;81,48;77,78;81,48;70,37;77,78;74,07
Fold4;88,89;88,89;92,59;88,89;85,19;88,89;85,19;85,19
Fold5;81,48;85,19;85,19;92,59;92,59;88,89;92,59;81,48
Fold6;74,07;70,37;62,96;70,37;66,67;66,67;66,67;66,67
Fold7;77,78;88,89;70,37;74,07;88,89;81,48;88,89;85,19
Fold8;70,37;92,59;81,48;77,78;88,89;88,89;88,89;88,89
Fold9;81,48;81,48;81,48;92,59;81,48;85,19;77,78;85,19
Fold10;77,78;74,07;81,48;81,48;74,07;85,19;74,07;74,07
