FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;88,89;85,19;88,89;88,89;88,89;85,19;85,19
Fold2;74,07;74,07;74,07;70,37;74,07;74,07;74,07
Fold3;77,78;70,37;77,78;81,48;77,78;70,37;77,78
Fold4;81,48;81,48;81,48;77,78;81,48;81,48;81,48
Fold5;70,37;70,37;70,37;70,37;70,37;70,37;70,37
Fold6;85,19;85,19;85,19;81,48;85,19;85,19;85,19
Fold7;85,19;81,48;85,19;85,19;85,19;81,48;81,48
Fold8;80,77;84,62;80,77;80,77;80,77;84,62;84,62
Fold9;84,62;84,62;84,62;88,46;84,62;84,62;84,62
Fold10;80,77;80,77;80,77;80,77;80,77;80,77;80,77
