FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;84,06;84,06;84,06;84,06;84,06;84,06;84,06;84,06
Fold2;75,36;75,36;75,36;75,36;75,36;75,36;75,36;75,36
Fold3;84,06;84,06;84,06;84,06;84,06;84,06;84,06;84,06
Fold4;78,26;78,26;78,26;78,26;78,26;78,26;78,26;78,26
Fold5;72,46;72,46;72,46;72,46;72,46;72,46;72,46;72,46
Fold6;75,36;75,36;75,36;75,36;75,36;75,36;75,36;75,36
Fold7;72,46;72,46;72,46;72,46;72,46;72,46;72,46;72,46
Fold8;75,36;75,36;75,36;75,36;75,36;75,36;75,36;75,36
Fold9;81,16;81,16;81,16;81,16;81,16;81,16;81,16;81,16
Fold10;76,81;76,81;76,81;76,81;76,81;76,81;76,81;76,81
