FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;63,64;59,09;63,64;63,64;63,64;63,64;59,09;63,64
Fold2;59,09;63,64;59,09;59,09;59,09;59,09;63,64;59,09
Fold3;62,79;53,49;62,79;62,79;62,79;62,79;53,49;62,79
Fold4;62,79;58,14;62,79;62,79;69,77;62,79;58,14;62,79
Fold5;65,12;65,12;65,12;65,12;65,12;65,12;65,12;65,12
Fold6;62,79;62,79;62,79;62,79;60,47;58,14;53,49;62,79
Fold7;65,12;62,79;65,12;65,12;67,44;62,79;62,79;65,12
Fold8;62,79;69,77;62,79;62,79;67,44;62,79;67,44;62,79
Fold9;62,79;53,49;62,79;62,79;62,79;51,16;53,49;62,79
Fold10;62,79;62,79;62,79;62,79;62,79;51,16;62,79;62,79
