FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;73,08;73,08;73,08;73,08;73,08;73,08;73,08;73,08
Fold2;84,62;84,62;84,62;84,62;84,62;84,62;84,62;84,62
Fold3;84,62;88,46;84,62;84,62;84,62;88,46;88,46;84,62
Fold4;88,46;88,46;88,46;88,46;88,46;88,46;88,46;88,46
Fold5;88,46;88,46;88,46;88,46;88,46;88,46;88,46;88,46
Fold6;76,92;76,92;76,92;76,92;76,92;76,92;76,92;76,92
Fold7;92,00;92,00;92,00;92,00;92,00;92,00;92,00;92,00
Fold8;80,00;80,00;80,00;80,00;80,00;80,00;80,00;80,00
Fold9;84,00;84,00;84,00;84,00;84,00;84,00;84,00;84,00
Fold10;88,00;88,00;88,00;88,00;88,00;88,00;88,00;80,00
