FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;82,54;87,30;95,24;96,83;82,54;88,89;92,06;95,24
Fold2;76,19;76,19;98,41;95,24;73,02;80,95;88,89;93,65
Fold3;77,78;76,19;96,83;96,83;80,95;79,37;93,65;93,65
Fold4;84,13;85,71;95,24;93,65;85,71;88,89;93,65;95,24
Fold5;79,37;76,19;92,06;93,65;80,95;85,71;93,65;95,24
Fold6;79,03;79,03;98,39;98,39;79,03;82,26;96,77;98,39
Fold7;77,42;85,48;93,55;95,16;82,26;85,48;91,94;91,94
Fold8;80,65;83,87;95,16;95,16;79,03;88,71;91,94;91,94
Fold9;82,26;83,87;91,94;96,77;83,87;87,10;96,77;93,55
Fold10;87,10;83,87;90,32;98,39;83,87;83,87;90,32;90,32
