FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;88,89;74,60;87,30;88,89;79,37;80,95;77,78;88,89
Fold2;92,06;76,19;84,13;87,30;76,19;76,19;74,60;92,06
Fold3;90,48;74,60;82,54;90,48;84,13;76,19;71,43;90,48
Fold4;92,06;80,95;87,30;88,89;90,48;74,60;82,54;92,06
Fold5;92,06;68,25;92,06;85,71;77,78;73,02;71,43;92,06
Fold6;91,94;70,97;79,03;93,55;85,48;75,81;72,58;91,94
Fold7;90,32;77,42;83,87;91,94;88,71;83,87;82,26;90,32
Fold8;88,71;75,81;79,03;87,10;75,81;72,58;75,81;88,71
Fold9;90,32;79,03;87,10;88,71;88,71;82,26;88,71;90,32
Fold10;87,10;83,87;88,71;87,10;82,26;85,48;87,10;87,10
