FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;88,89;85,19;88,89;85,19;88,89;85,19;85,19
Fold2;70,37;74,07;70,37;74,07;70,37;74,07;74,07
Fold3;74,07;74,07;74,07;74,07;74,07;81,48;81,48
Fold4;81,48;66,67;81,48;81,48;81,48;81,48;81,48
Fold5;70,37;88,89;70,37;85,19;70,37;70,37;70,37
Fold6;85,19;81,48;85,19;77,78;85,19;81,48;85,19
Fold7;77,78;85,19;77,78;74,07;77,78;74,07;74,07
Fold8;80,77;73,08;80,77;76,92;80,77;84,62;80,77
Fold9;84,62;88,46;84,62;80,77;84,62;84,62;84,62
Fold10;76,92;80,77;76,92;80,77;76,92;80,77;76,92
