dataset: Autos.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.144157     131 height==B5of6 or horsepower==B2of2
 0.144108     576 engine-size_x_city-mpg
 0.143832      95 length==B6of8 or engine-size==B2of2
 0.143832     452 length==B6of8 or engine-size==B2of2 or stroke
 0.143334     385 engine-size==B2of2 impl city-mpg==B2of2
 0.142        417 body-style==hatchback impl city-mpg==B2of2
 0.141971     416 body-style==sedan impl city-mpg==B2of2
 0.141578     138 height==B6of6 or highway-mpg==B2of2
 0.14095      310 height==B6of6 xor horsepower==B2of2
 0.14095      221 height==B6of6 equ horsepower==B2of2
 0.14079      347 normalized-losses==B3of4 xor bore==B2of2
 0.14079      258 normalized-losses==B3of4 equ bore==B2of2
 0.13958      118 body-style==hardtop or engine-size==B2of2
 0.139462     269 length==B2of8 xor engine-size==B2of2
 0.139462     180 length==B2of8 equ engine-size==B2of2
 0.13892       45 body-style==sedan and engine-size==B2of2
 0.138851     217 height==B2of6 equ horsepower==B2of2
 0.138851     306 height==B2of6 xor horsepower==B2of2
 0.137995     173 engine-size==B2of2 equ stroke
 0.137995     453 length==B7of8 or engine-size==B2of2 or stroke
 0.137995     351 engine-size==B2of2 impl stroke
 0.137995     565 engine-size_x_stroke
 0.137995     454 length==B8of8 or engine-size==B2of2 or stroke
 0.137995     450 length==B4of8 or engine-size==B2of2 or stroke
 0.137995     449 length==B3of8 or engine-size==B2of2 or stroke
 0.137995     451 length==B5of8 or engine-size==B2of2 or stroke
 0.137995     262 engine-size==B2of2 xor stroke
 0.137995      93 length==B4of8 or engine-size==B2of2
 0.137995      94 length==B5of8 or engine-size==B2of2
 0.137995      92 length==B3of8 or engine-size==B2of2
 0.137995     122 body-style==convertible or engine-size==B2of2
 0.137995      84 engine-size==B2of2 or stroke
 0.137995      97 length==B8of8 or engine-size==B2of2
 0.137995      96 length==B7of8 or engine-size==B2of2
 0.137987     569 engine-location_x_fuel-system
 0.136879     579 fuel-system_x_compression-ratio
 0.136879      17 fuel-system
 0.136694     296 body-style==hardtop xor engine-size==B2of2
 0.136694     207 body-style==hardtop equ engine-size==B2of2
