FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;84,13;79,37;90,48;87,30;82,54;90,48;92,06;90,48
Fold2;90,48;79,37;92,06;84,13;85,71;92,06;87,30;88,89
Fold3;87,30;69,84;90,48;88,89;77,78;88,89;88,89;87,30
Fold4;92,06;82,54;90,48;87,30;88,89;88,89;92,06;92,06
Fold5;84,13;76,19;92,06;84,13;80,95;88,89;85,71;87,30
Fold6;87,10;80,65;91,94;90,32;83,87;90,32;90,32;90,32
Fold7;88,71;79,03;90,32;90,32;87,10;88,71;90,32;90,32
Fold8;83,87;75,81;88,71;82,26;82,26;88,71;85,48;88,71
Fold9;87,10;75,81;90,32;85,48;83,87;88,71;88,71;88,71
Fold10;83,87;75,81;88,71;83,87;87,10;90,32;90,32;90,32
