FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;52,17;82,61;65,22;82,61;95,65;82,61;82,61
Fold2;43,48;86,96;65,22;86,96;82,61;86,96;86,96
Fold3;65,22;91,30;78,26;86,96;91,30;95,65;95,65
Fold4;54,55;68,18;59,09;72,73;63,64;63,64;63,64
Fold5;45,45;72,73;40,91;54,55;68,18;72,73;72,73
Fold6;50,00;72,73;72,73;72,73;86,36;77,27;77,27
Fold7;54,55;77,27;59,09;68,18;90,91;81,82;81,82
Fold8;40,91;68,18;45,45;59,09;63,64;72,73;72,73
Fold9;50,00;72,73;59,09;77,27;81,82;72,73;72,73
Fold10;50,00;86,36;63,64;81,82;86,36;90,91;90,91
