FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;84,13;50,79;84,13;88,89;79,37;79,37;77,78;84,13
Fold2;84,13;66,67;88,89;92,06;65,08;76,19;77,78;84,13
Fold3;87,30;84,13;87,30;87,30;84,13;84,13;87,30;87,30
Fold4;90,48;80,95;82,54;92,06;61,90;61,90;66,67;90,48
Fold5;88,89;74,60;80,95;85,71;82,54;80,95;77,78;88,89
Fold6;91,94;85,48;88,71;85,48;87,10;80,65;90,32;91,94
Fold7;90,32;85,48;90,32;87,10;90,32;82,26;87,10;90,32
Fold8;88,71;66,13;85,48;87,10;90,32;69,35;70,97;88,71
Fold9;87,10;37,10;77,42;95,16;56,45;70,97;69,35;87,10
Fold10;85,48;66,13;82,26;93,55;72,58;88,71;82,26;85,48
