FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;89,86;91,30;94,20;91,30;92,75;89,86;89,86;89,86
Fold2;92,75;89,86;86,96;88,41;91,30;89,86;88,41;92,75
Fold3;88,41;86,96;81,16;84,06;88,41;85,51;85,51;86,96
Fold4;84,06;76,81;79,71;84,06;79,71;84,06;76,81;79,71
Fold5;81,16;75,36;79,71;79,71;82,61;82,61;79,71;84,06
Fold6;85,51;82,61;85,51;95,65;85,51;91,30;85,51;86,96
Fold7;81,16;79,71;84,06;81,16;81,16;82,61;85,51;81,16
Fold8;85,51;85,51;82,61;84,06;84,06;82,61;85,51;84,06
Fold9;85,51;82,61;84,06;84,06;84,06;84,06;85,51;84,06
Fold10;86,96;84,06;88,41;84,06;84,06;88,41;88,41;86,96
