FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;92,49;83,82;92,49;92,49;86,13;83,24;83,24;87,28
Fold2;91,33;84,39;91,33;91,33;86,13;84,97;84,39;92,49
Fold3;93,06;87,86;93,06;93,06;89,02;87,28;87,28;91,91
Fold4;91,91;82,08;91,91;91,91;84,39;82,66;82,66;89,60
Fold5;93,64;86,71;93,64;93,64;86,71;86,71;86,71;90,75
Fold6;94,80;87,28;94,80;94,80;87,86;84,97;86,71;93,64
Fold7;95,38;89,02;95,38;95,38;89,02;86,13;85,55;92,49
Fold8;93,64;84,39;93,64;93,64;86,13;83,82;84,39;88,44
Fold9;94,77;90,70;94,77;94,77;91,86;89,53;88,37;93,60
Fold10;94,19;81,98;94,19;94,19;83,14;80,23;81,40;94,19
