FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;77,27;68,18;81,82;68,18;68,18;77,27;54,55;63,64
Fold2;81,82;59,09;72,73;68,18;59,09;86,36;59,09;81,82
Fold3;63,64;81,82;81,82;72,73;77,27;59,09;77,27;72,73
Fold4;59,09;72,73;68,18;63,64;77,27;72,73;77,27;72,73
Fold5;66,67;76,19;66,67;71,43;71,43;71,43;71,43;66,67
Fold6;61,90;57,14;28,57;57,14;66,67;71,43;66,67;61,90
Fold7;66,67;61,90;66,67;61,90;76,19;71,43;71,43;66,67
Fold8;61,90;71,43;61,90;76,19;71,43;57,14;85,71;61,90
Fold9;57,14;47,62;61,90;57,14;52,38;61,90;57,14;57,14
Fold10;71,43;66,67;57,14;66,67;66,67;66,67;57,14;61,90
