FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;88,89;88,89;88,89;85,19;85,19;88,89;85,19
Fold2;77,78;70,37;77,78;74,07;74,07;70,37;74,07
Fold3;81,48;77,78;81,48;85,19;81,48;77,78;77,78
Fold4;85,19;81,48;85,19;85,19;85,19;81,48;85,19
Fold5;77,78;81,48;77,78;85,19;81,48;81,48;81,48
Fold6;88,89;88,89;88,89;92,59;88,89;88,89;88,89
Fold7;70,37;74,07;70,37;81,48;81,48;74,07;74,07
Fold8;76,92;80,77;76,92;76,92;80,77;80,77;80,77
Fold9;80,77;80,77;80,77;84,62;84,62;80,77;80,77
Fold10;73,08;80,77;73,08;84,62;84,62;84,62;84,62
