FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;90,48;80,95;90,48;98,41;80,95;82,54;79,37;90,48
Fold2;88,89;85,71;90,48;95,24;85,71;82,54;82,54;88,89
Fold3;88,89;85,71;88,89;98,41;85,71;82,54;82,54;88,89
Fold4;92,06;88,89;92,06;95,24;88,89;87,30;88,89;92,06
Fold5;88,89;82,54;92,06;96,83;82,54;85,71;84,13;88,89
Fold6;90,32;87,10;91,94;100,00;87,10;79,03;85,48;90,32
Fold7;91,94;87,10;90,32;95,16;87,10;85,48;82,26;91,94
Fold8;87,10;82,26;90,32;95,16;82,26;80,65;82,26;87,10
Fold9;93,55;88,71;93,55;91,94;88,71;87,10;90,32;93,55
Fold10;88,71;88,71;91,94;96,77;88,71;87,10;85,48;88,71
