dataset: rLinear.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.1405085     649 A2_x_A3
 0.0870587     651 A1_x_A3
 0.081347      253 A2==(80.009447-inf) xor A3==(39.979256-59.952159]
 0.081347      178 A2==(80.009447-inf) equ A3==(39.979256-59.952159]
 0.078477      243 A2==(40.041041-60.025244] xor A3==(39.979256-59.952159]
 0.078477      168 A2==(40.041041-60.025244] equ A3==(39.979256-59.952159]
 0.075032      173 A2==(60.025244-80.009447] equ A3==(39.979256-59.952159]
 0.075032      248 A2==(60.025244-80.009447] xor A3==(39.979256-59.952159]
 0.0744377      93 A2==(40.041041-60.025244] or A3==(39.979256-59.952159]
 0.073998      103 A2==(80.009447-inf) or A3==(39.979256-59.952159]
 0.0737229      98 A2==(60.025244-80.009447] or A3==(39.979256-59.952159]
 0.0726314     233 A2==(-inf-20.056838] xor A3==(39.979256-59.952159]
 0.0726314     158 A2==(-inf-20.056838] equ A3==(39.979256-59.952159]
 0.0679548     169 A2==(40.041041-60.025244] equ A3==(59.952159-79.925061]
 0.0679548     244 A2==(40.041041-60.025244] xor A3==(59.952159-79.925061]
 0.0677186     252 A2==(80.009447-inf) xor A3==(20.006354-39.979256]
 0.0677186     177 A2==(80.009447-inf) equ A3==(20.006354-39.979256]
 0.0673499     238 A2==(20.056838-40.041041] xor A3==(39.979256-59.952159]
 0.0673499     163 A2==(20.056838-40.041041] equ A3==(39.979256-59.952159]
 0.067107       94 A2==(40.041041-60.025244] or A3==(59.952159-79.925061]
 0.0657098     254 A2==(80.009447-inf) xor A3==(59.952159-79.925061]
 0.0657098     179 A2==(80.009447-inf) equ A3==(59.952159-79.925061]
 0.0650413      88 A2==(20.056838-40.041041] or A3==(39.979256-59.952159]
 0.0640668      99 A2==(60.025244-80.009447] or A3==(59.952159-79.925061]
 0.0637434     232 A2==(-inf-20.056838] xor A3==(20.006354-39.979256]
 0.0637434     157 A2==(-inf-20.056838] equ A3==(20.006354-39.979256]
 0.063686      234 A2==(-inf-20.056838] xor A3==(59.952159-79.925061]
 0.063686      159 A2==(-inf-20.056838] equ A3==(59.952159-79.925061]
 0.0633179      97 A2==(60.025244-80.009447] or A3==(20.006354-39.979256]
 0.0633172      83 A2==(-inf-20.056838] or A3==(39.979256-59.952159]
 0.0624282     174 A2==(60.025244-80.009447] equ A3==(59.952159-79.925061]
 0.0624282     249 A2==(60.025244-80.009447] xor A3==(59.952159-79.925061]
 0.0615443     242 A2==(40.041041-60.025244] xor A3==(20.006354-39.979256]
 0.0615443     167 A2==(40.041041-60.025244] equ A3==(20.006354-39.979256]
 0.0609855     102 A2==(80.009447-inf) or A3==(20.006354-39.979256]
 0.0599953     228 A1==(79.936543-inf) equ A3==(39.979256-59.952159]
 0.0599953     303 A1==(79.936543-inf) xor A3==(39.979256-59.952159]
 0.05948       172 A2==(60.025244-80.009447] equ A3==(20.006354-39.979256]
 0.05948       247 A2==(60.025244-80.009447] xor A3==(20.006354-39.979256]
 0.059059      208 A1==(-inf-20.143709] equ A3==(39.979256-59.952159]
