FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;89,86;92,75;86,96;91,30;89,86;91,30;89,86;89,86
Fold2;92,75;91,30;89,86;95,65;89,86;94,20;91,30;89,86
Fold3;88,41;84,06;85,51;88,41;84,06;88,41;86,96;88,41
Fold4;84,06;79,71;82,61;85,51;82,61;84,06;79,71;81,16
Fold5;76,81;81,16;78,26;79,71;79,71;81,16;78,26;76,81
Fold6;84,06;79,71;79,71;85,51;82,61;86,96;82,61;84,06
Fold7;82,61;81,16;79,71;81,16;82,61;78,26;82,61;84,06
Fold8;84,06;81,16;86,96;86,96;84,06;85,51;86,96;85,51
Fold9;84,06;85,51;84,06;84,06;85,51;84,06;85,51;85,51
Fold10;89,86;88,41;88,41;89,86;89,86;89,86;91,30;88,41
