FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;89,86;89,86;86,96;89,86;94,20;89,86;91,30;89,86
Fold2;91,30;86,96;92,75;88,41;88,41;92,75;86,96;86,96
Fold3;91,30;86,96;89,86;88,41;91,30;89,86;89,86;89,86
Fold4;84,06;86,96;84,06;86,96;82,61;82,61;81,16;84,06
Fold5;82,61;79,71;81,16;81,16;81,16;82,61;82,61;79,71
Fold6;86,96;79,71;89,86;89,86;88,41;91,30;84,06;89,86
Fold7;82,61;78,26;81,16;79,71;84,06;81,16;78,26;82,61
Fold8;85,51;85,51;85,51;86,96;82,61;78,26;82,61;85,51
Fold9;85,51;84,06;86,96;82,61;86,96;86,96;84,06;84,06
Fold10;86,96;88,41;86,96;88,41;85,51;86,96;85,51;85,51
