FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;77,27;68,18;72,73;77,27;68,18;72,73;68,18;68,18
Fold2;81,82;72,73;81,82;86,36;77,27;77,27;77,27;81,82
Fold3;63,64;72,73;77,27;63,64;68,18;54,55;68,18;68,18
Fold4;59,09;54,55;59,09;63,64;54,55;68,18;63,64;63,64
Fold5;66,67;76,19;66,67;66,67;66,67;61,90;76,19;66,67
Fold6;61,90;71,43;61,90;57,14;71,43;66,67;57,14;66,67
Fold7;66,67;57,14;76,19;61,90;71,43;66,67;61,90;61,90
Fold8;61,90;76,19;71,43;66,67;85,71;61,90;66,67;66,67
Fold9;57,14;57,14;71,43;57,14;61,90;57,14;57,14;57,14
Fold10;71,43;66,67;66,67;66,67;66,67;61,90;71,43;71,43
