FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;90,48;80,95;90,48;96,83;80,95;90,48;84,13;90,48
Fold2;88,89;85,71;90,48;95,24;85,71;85,71;82,54;88,89
Fold3;88,89;85,71;88,89;98,41;85,71;85,71;82,54;88,89
Fold4;92,06;88,89;92,06;93,65;88,89;88,89;90,48;92,06
Fold5;88,89;82,54;92,06;95,24;82,54;85,71;82,54;88,89
Fold6;90,32;87,10;91,94;100,00;87,10;82,26;83,87;90,32
Fold7;91,94;87,10;90,32;95,16;87,10;83,87;83,87;91,94
Fold8;87,10;82,26;91,94;95,16;82,26;85,48;85,48;87,10
Fold9;93,55;88,71;95,16;93,55;88,71;88,71;91,94;93,55
Fold10;88,71;88,71;91,94;98,39;88,71;87,10;87,10;88,71
