dataset: Glass.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.2925063     288 Mg==B2of2 xor Ca==B3of4
 0.2925063     193 Mg==B2of2 equ Ca==B3of4
 0.2924212     894 Na_x_Ba
 0.2917409     715 RI==B4of5 or Na==B2of2 or Ca==B4of4
 0.2907912     294 RI==B1of5 xor Ca==B3of4
 0.2907912     199 RI==B1of5 equ Ca==B3of4
 0.2902352     685 Mg==B2of2 or K==B2of3 or Fe
 0.2902352      93 Mg==B2of2 or K==B2of3
 0.2902352     576 Mg==B2of2 or Si or K==B2of3
 0.2894466     152 Na==B2of2 or K==B1of3
 0.2894466     654 Na==B2of2 or K==B1of3 or Fe
 0.2893054     104 RI==B1of5 or Ca==B3of4
 0.2893054     498 RI==B1of5 or Ca==B3of4 or Fe
 0.2891865     648 RI==B3of5 or Ba==B2of2 or Fe
 0.2891865     124 RI==B3of5 or Ba==B2of2
 0.2882033     630 Na==B2of2 or K==B1of3 or Ca==B2of4
 0.2881198     519 RI==B1of5 or Ca==B4of4 or Ba==B2of2
 0.2874299     666 Mg==B2of2 or K==B3of3 or Ca==B1of4
 0.2864222     667 Mg==B2of2 or K==B3of3 or Ca==B2of4
 0.2854107     280 Si xor Ca==B3of4
 0.2854107      85 Ca==B3of4 or Fe
 0.2854107     594 Si or Ca==B3of4 or Fe
 0.2854107     180 Ca==B3of4 equ Fe
 0.2854107     185 Si equ Ca==B3of4
 0.2854107      90 Si or Ca==B3of4
 0.2854107     366 Ca==B3of4 impl Fe
 0.2854107     275 Ca==B3of4 xor Fe
 0.2845522     609 Si or Ca==B4of4 or Ba==B2of2
 0.2845522      69 Ca==B4of4 or Ba==B2of2
 0.2845522     723 Ca==B4of4 or Ba==B2of2 or Fe
 0.282457      574 Na==B2of2 or Ca==B4of4 or Fe
 0.282457      158 Na==B2of2 or Ca==B4of4
 0.2824391     527 RI==B3of5 or Ca==B4of4 or Ba==B2of2
 0.2814259     670 Na==B2of2 or K==B1of3 or Ba==B2of2
