dataset: cDisjunct.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.1110495   23 A1 ADD A2
 0.0946153   27 A2 SUBTRACT A3
 0.0851555   35 A1 MULTIPLY A2
 0.0806578    2 A2
 0.08         6 A1==B2of2 and A2==B2of2
 0.0773741   37 A1 MULTIPLY A3
 0.0714346   25 A1 ADD A3
 0.0683836   26 A1 SUBTRACT A2
 0.0665556   19 A2==B2of2 impl A3==B2of2
 0.0594581   36 A2 MULTIPLY A3
 0.0562789   24 A2 ADD A3
 0.0371111   21 A1==B2of2 and A2==B2of2 and A3==B2of2
 0.0135039    4 A4
 0.0127222   42 A2 DIFF A3
 0.0116144    5 A5
 0.0075      41 A1 DIFF A2
-0.0000556   29 A1 DIVIDE A2
-0.0000556   32 A3 DIVIDE A2
-0.0015      34 A3 DIVIDE A1
-0.0015      30 A2 DIVIDE A1
-0.0028889   43 A1 DIFF A3
-0.007       31 A2 DIVIDE A3
-0.007       33 A1 DIVIDE A3


								--------------
									Fold  4
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 1          48 (A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7)
 0.827833   47 (A1 <= 0.5) and (A3 >= 0.4)
 0.827667   50 num-of-N((A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7))
 0.743       9 A1==B2of2 or A2==B2of2
 0.742333   49 num-of-N((A1 <= 0.5) and (A3 >= 0.4))
 0.736667   46 A1_x_A3
 0.662556   44 A1_x_A2
 0.569889   45 A2_x_A3
 0.545611   14 A1==B2of2 equ A3==B2of2
 0.545611   17 A1==B2of2 xor A3==B2of2
 0.515278   12 A1==B2of2 equ A2==B2of2
 0.515278   15 A1==B2of2 xor A2==B2of2
 0.438      13 A2==B2of2 equ A3==B2of2
 0.438      16 A2==B2of2 xor A3==B2of2
 0.3625     40 A1 LESSTHAN A3
 0.348278   18 A1==B2of2 impl A2==B2of2
 0.319556    8 A1==B2of2 and A3==B2of2
 0.264722   10 A2==B2of2 or A3==B2of2
 0.242722   39 A2 LESSTHAN A3
 0.214722   11 A1==B2of2 or A3==B2of2
 0.167611    7 A2==B2of2 and A3==B2of2
 0.154333   22 A1==B2of2 or A2==B2of2 or A3==B2of2
 0.153985    1 A1
 0.143778   38 A1 LESSTHAN A2
 0.132338   28 A1 SUBTRACT A3
 0.117883    3 A3
 0.112424   23 A1 ADD A2
 0.111222   20 A1==B2of2 impl A3==B2of2
 0.094753   27 A2 SUBTRACT A3
 0.086331   35 A1 MULTIPLY A2
 0.079403    2 A2
 0.079251   37 A1 MULTIPLY A3
 0.077611    6 A1==B2of2 and A2==B2of2
 0.073948   25 A1 ADD A3
 0.069778   19 A2==B2of2 impl A3==B2of2
 0.069237   26 A1 SUBTRACT A2
 0.058881   36 A2 MULTIPLY A3
 0.054858   24 A2 ADD A3
 0.032889   21 A1==B2of2 and A2==B2of2 and A3==B2of2
 0.012833   42 A2 DIFF A3
 0.012515    5 A5
 0.012511    4 A4
 0.007889   41 A1 DIFF A2
-0.000778   29 A1 DIVIDE A2
-0.000778   32 A3 DIVIDE A2
-0.001556   34 A3 DIVIDE A1
-0.001556   30 A2 DIVIDE A1
-0.003444   43 A1 DIFF A3
-0.007833   33 A1 DIVIDE A3
-0.007833   31 A2 DIVIDE A3


								--------------
									Fold  5
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 1          48 (A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7)
 0.831611   47 (A1 <= 0.5) and (A3 >= 0.4)
 0.826056   50 num-of-N((A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7))
 0.743722   49 num-of-N((A1 <= 0.5) and (A3 >= 0.4))
 0.738278    9 A1==B2of2 or A2==B2of2
 0.738      46 A1_x_A3
 0.656889   44 A1_x_A2
 0.569222   45 A2_x_A3
 0.544111   17 A1==B2of2 xor A3==B2of2
 0.544111   14 A1==B2of2 equ A3==B2of2
 0.514722   12 A1==B2of2 equ A2==B2of2
 0.514722   15 A1==B2of2 xor A2==B2of2
 0.443056   13 A2==B2of2 equ A3==B2of2
 0.443056   16 A2==B2of2 xor A3==B2of2
 0.364111   40 A1 LESSTHAN A3
 0.352889   18 A1==B2of2 impl A2==B2of2
 0.315722    8 A1==B2of2 and A3==B2of2
 0.272      10 A2==B2of2 or A3==B2of2
 0.251722   39 A2 LESSTHAN A3
 0.216944   11 A1==B2of2 or A3==B2of2
 0.164167    7 A2==B2of2 and A3==B2of2
 0.157611   22 A1==B2of2 or A2==B2of2 or A3==B2of2
 0.152161    1 A1
 0.141333   38 A1 LESSTHAN A2
 0.130945   28 A1 SUBTRACT A3
