FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;88,89;88,89;88,89;88,89;88,89;88,89;88,89;88,89
Fold2;74,07;74,07;74,07;74,07;74,07;74,07;74,07;74,07
Fold3;66,67;66,67;66,67;66,67;66,67;66,67;66,67;66,67
Fold4;85,19;85,19;85,19;85,19;85,19;85,19;85,19;85,19
Fold5;81,48;81,48;81,48;81,48;81,48;81,48;81,48;81,48
Fold6;62,96;62,96;62,96;62,96;62,96;62,96;62,96;62,96
Fold7;74,07;74,07;74,07;74,07;74,07;74,07;74,07;74,07
Fold8;85,19;85,19;85,19;85,19;85,19;85,19;85,19;85,19
Fold9;81,48;81,48;81,48;81,48;81,48;81,48;81,48;81,48
Fold10;66,67;66,67;66,67;66,67;66,67;66,67;66,67;66,67
