FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;82,54;87,30;95,24;96,83;82,54;85,71;95,24;93,65
Fold2;76,19;73,02;98,41;95,24;79,37;79,37;93,65;93,65
Fold3;77,78;76,19;96,83;96,83;80,95;79,37;93,65;93,65
Fold4;84,13;85,71;96,83;93,65;85,71;87,30;93,65;95,24
Fold5;79,37;79,37;93,65;98,41;82,54;84,13;93,65;93,65
Fold6;79,03;79,03;98,39;98,39;79,03;82,26;96,77;98,39
Fold7;77,42;85,48;95,16;95,16;82,26;85,48;93,55;93,55
Fold8;80,65;82,26;93,55;95,16;83,87;88,71;91,94;90,32
Fold9;82,26;85,48;93,55;93,55;88,71;85,48;95,16;95,16
Fold10;87,10;83,87;90,32;98,39;83,87;87,10;90,32;90,32
