FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;88,89;77,78;88,89;88,89;85,19;81,48;88,89;88,89
Fold2;85,19;81,48;77,78;88,89;85,19;77,78;81,48;81,48
Fold3;88,89;81,48;85,19;85,19;81,48;77,78;81,48;81,48
Fold4;92,59;81,48;88,89;85,19;85,19;92,59;81,48;92,59
Fold5;88,89;85,19;92,59;92,59;85,19;92,59;88,89;88,89
Fold6;74,07;81,48;74,07;77,78;66,67;70,37;74,07;70,37
Fold7;77,78;88,89;81,48;77,78;81,48;81,48;81,48;81,48
Fold8;77,78;92,59;81,48;81,48;88,89;92,59;85,19;85,19
Fold9;88,89;81,48;92,59;88,89;77,78;85,19;81,48;77,78
Fold10;74,07;77,78;77,78;77,78;77,78;81,48;77,78;81,48
