FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;81,48;85,19;85,19;88,89;85,19;85,19;85,19;88,89
Fold2;74,07;77,78;74,07;81,48;77,78;74,07;77,78;77,78
Fold3;74,07;74,07;81,48;81,48;77,78;74,07;77,78;77,78
Fold4;92,59;92,59;85,19;92,59;92,59;85,19;92,59;92,59
Fold5;88,89;88,89;88,89;88,89;88,89;88,89;88,89;88,89
Fold6;70,37;74,07;70,37;77,78;70,37;70,37;70,37;74,07
Fold7;85,19;70,37;77,78;74,07;74,07;77,78;74,07;74,07
Fold8;85,19;77,78;88,89;88,89;85,19;85,19;88,89;85,19
Fold9;85,19;85,19;88,89;88,89;88,89;81,48;85,19;88,89
Fold10;74,07;85,19;77,78;74,07;77,78;81,48;81,48;77,78
