FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;84,13;74,60;90,48;85,71;82,54;82,54;92,06;92,06
Fold2;90,48;79,37;92,06;90,48;85,71;80,95;82,54;90,48
Fold3;87,30;71,43;90,48;90,48;77,78;84,13;88,89;88,89
Fold4;92,06;82,54;90,48;92,06;88,89;88,89;90,48;90,48
Fold5;84,13;76,19;92,06;84,13;80,95;85,71;82,54;84,13
Fold6;87,10;80,65;91,94;90,32;83,87;79,03;83,87;87,10
Fold7;88,71;83,87;90,32;85,48;87,10;87,10;90,32;90,32
Fold8;83,87;69,35;88,71;83,87;82,26;80,65;85,48;85,48
Fold9;87,10;79,03;90,32;87,10;83,87;88,71;90,32;88,71
Fold10;83,87;80,65;88,71;85,48;87,10;87,10;88,71;88,71
