FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;67,71;72,92;67,71;72,92;76,04;72,92;72,92
Fold2;71,88;76,04;71,88;69,79;68,75;76,04;76,04
Fold3;70,83;64,58;70,83;64,58;64,58;65,62;66,67
Fold4;72,92;75,00;72,92;72,92;77,08;76,04;76,04
Fold5;75,00;76,04;75,00;76,04;76,04;76,04;76,04
Fold6;67,71;67,71;67,71;69,79;64,58;67,71;67,71
Fold7;68,75;75,00;68,75;70,83;76,04;75,00;68,75
Fold8;69,79;71,88;69,79;70,83;77,08;71,88;71,88
Fold9;65,26;71,58;65,26;68,42;73,68;71,58;71,58
Fold10;66,32;72,63;66,32;67,37;74,74;72,63;72,63
