FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;88,89;77,78;87,30;92,06;79,37;77,78;74,60;88,89
Fold2;92,06;73,02;84,13;95,24;76,19;76,19;77,78;92,06
Fold3;90,48;73,02;82,54;92,06;84,13;74,60;69,84;90,48
Fold4;92,06;80,95;87,30;92,06;90,48;77,78;77,78;92,06
Fold5;92,06;73,02;92,06;87,30;77,78;77,78;74,60;92,06
Fold6;91,94;70,97;79,03;93,55;85,48;69,35;69,35;91,94
Fold7;90,32;72,58;83,87;90,32;88,71;72,58;75,81;90,32
Fold8;88,71;72,58;79,03;91,94;75,81;72,58;70,97;88,71
Fold9;90,32;80,65;87,10;96,77;88,71;91,94;90,32;90,32
Fold10;87,10;77,42;88,71;87,10;82,26;85,48;85,48;87,10
