FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;85,42;93,75;85,42;84,38;94,79;93,75;93,75
Fold2;81,25;93,75;81,25;81,25;84,38;93,75;81,25
Fold3;86,46;89,58;86,46;81,25;83,33;88,54;90,62
Fold4;86,46;89,58;86,46;80,21;78,12;89,58;89,58
Fold5;83,33;90,62;83,33;80,21;85,42;90,62;91,67
Fold6;83,33;89,58;83,33;80,21;84,38;89,58;84,38
Fold7;89,58;89,58;89,58;85,42;92,71;89,58;90,62
Fold8;85,42;93,75;85,42;77,08;90,62;93,75;93,75
Fold9;75,79;82,11;75,79;80,00;87,37;82,11;87,37
Fold10;88,42;94,74;88,42;85,26;89,47;93,68;94,74
