dataset: cBinClassDisAttr-uniqueInst.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.540367    347 (A1 = 1)
 0.538532      1 A1
 0.501835    351 num-of-N((A1 = 1) and (A2 = 0))
 0.499541    339 A1_x_A2
 0.474312    356 num-of-N((A1 = 1) and (A2 = 2))
 0.433028    144 A1==1 xor A2==0
 0.433028     99 A1==1 equ A2==0
 0.430275    118 A1==1 equ A3==1
 0.430275    163 A1==1 xor A3==1
 0.422936    190 A1==1 impl A2==1
 0.420642    355 num-of-N((A1 = 1) and (A3 = 2))
 0.419266     73 A1==1 or A3==1
 0.413303    145 A1==1 xor A2==1
 0.413303    100 A1==1 equ A2==1
 0.411468    341 A1_x_A3
 0.409633    354 num-of-N((A1 = 1) and (A4 = 2))
 0.406881    146 A1==1 xor A2==2
 0.406881    101 A1==1 equ A2==2
 0.399083    180 A1==1 xor A4==0
 0.399083    135 A1==1 equ A4==0
 0.394495     90 A1==1 or A4==0
 0.391743    343 A1_x_A4
 0.390826     54 A1==1 or A2==0
 0.389908    225 A1==1 impl A4==0
 0.389908    208 A1==1 impl A3==1
 0.367431     56 A1==1 or A2==2
 0.355505    164 A1==1 xor A3==2
 0.355505    119 A1==1 equ A3==2
 0.355046    182 A1==1 xor A4==2
 0.355046    137 A1==1 equ A4==2
 0.352752    117 A1==1 equ A3==0
 0.352752    162 A1==1 xor A3==0
 0.351376    207 A1==1 impl A3==0
 0.348624    181 A1==1 xor A4==1
 0.348624    136 A1==1 equ A4==1
 0.328899     55 A1==1 or A2==1
 0.308716     52 A1==0 or A2==1
 0.304128     72 A1==1 or A3==0
 0.30367     189 A1==1 impl A2==0
 0.302752    226 A1==1 impl A4==1
 0.298165    328 A1==1 or A2==2 or A3==1
 0.295413    191 A1==1 impl A2==2
 0.291743    294 A1==1 or A2==0 or A4==0
 0.275229    227 A1==1 impl A4==2
 0.261468     92 A1==1 or A4==2
 0.26055      91 A1==1 or A4==1
 0.259633     58 A1==2 or A2==1
 0.255046     96 A1==0 equ A2==0
 0.255046    141 A1==0 xor A2==0
 0.251835     97 A1==0 equ A2==1
 0.251835    142 A1==0 xor A2==1
 0.250459    349 (A1 = 1) and (A3 = 2)
 0.250459     29 A1==1 and A3==2
 0.235321     74 A1==1 or A3==2
 0.233486    325 A1==1 or A2==1 or A3==1
 0.233486    211 A1==2 impl A3==1
 0.232569     98 A1==0 equ A2==2
 0.232569    143 A1==0 xor A2==2
 0.23211     317 A1==0 or A2==1 or A3==2
 0.229358    147 A1==2 xor A2==0
 0.229358    102 A1==2 equ A2==0
 0.226147    188 A1==0 impl A2==2
 0.225688    297 A1==1 or A2==1 or A4==0
 0.222936    209 A1==1 impl A3==2
 0.22156     103 A1==2 equ A2==1
 0.22156     148 A1==2 xor A2==1
 0.22156     192 A1==2 impl A2==0
 0.221101    315 A1==0 or A2==1 or A3==0
 0.218349    166 A1==2 xor A3==1
 0.218349    121 A1==2 equ A3==1
 0.213761    321 A1==1 or A2==0 or A3==0
 0.213303    222 A1==0 impl A4==0
