FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;82,54;84,13;80,95;90,48;80,95;85,71;87,30;82,54
Fold2;76,19;71,43;85,71;96,83;79,37;82,54;82,54;76,19
Fold3;87,30;84,13;87,30;88,89;84,13;84,13;77,78;87,30
Fold4;92,06;65,08;84,13;92,06;65,08;68,25;77,78;92,06
Fold5;87,30;73,02;90,48;92,06;73,02;88,89;82,54;87,30
Fold6;93,55;85,48;91,94;98,39;85,48;91,94;85,48;93,55
Fold7;90,32;87,10;90,32;96,77;87,10;87,10;87,10;87,10
Fold8;93,55;90,32;91,94;98,39;90,32;91,94;91,94;93,55
Fold9;91,94;66,13;90,32;95,16;88,71;82,26;82,26;91,94
Fold10;91,94;91,94;91,94;98,39;91,94;83,87;82,26;91,94
