FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;84,06;86,96;76,81;84,06;86,96;86,96;89,86;89,86
Fold2;75,36;86,96;71,01;75,36;86,96;88,41;89,86;89,86
Fold3;84,06;89,86;79,71;79,71;89,86;92,75;91,30;92,75
Fold4;78,26;86,96;75,36;79,71;88,41;85,51;86,96;79,71
Fold5;72,46;79,71;75,36;72,46;81,16;82,61;78,26;78,26
Fold6;75,36;89,86;69,57;78,26;82,61;89,86;89,86;85,51
Fold7;72,46;81,16;66,67;72,46;79,71;82,61;84,06;84,06
Fold8;75,36;84,06;68,12;78,26;84,06;86,96;84,06;86,96
Fold9;81,16;86,96;73,91;78,26;85,51;84,06;85,51;85,51
Fold10;76,81;85,51;78,26;81,16;84,06;86,96;82,61;82,61
