FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;90,48;90,48;90,48;90,48;90,48;90,48;90,48;90,48
Fold2;88,89;88,89;88,89;88,89;88,89;88,89;88,89;88,89
Fold3;88,89;88,89;88,89;88,89;88,89;88,89;88,89;88,89
Fold4;92,06;92,06;92,06;92,06;92,06;92,06;92,06;92,06
Fold5;88,89;88,89;88,89;88,89;88,89;88,89;88,89;88,89
Fold6;90,32;90,32;90,32;90,32;90,32;90,32;90,32;90,32
Fold7;91,94;91,94;91,94;91,94;91,94;91,94;91,94;91,94
Fold8;87,10;87,10;87,10;87,10;87,10;87,10;87,10;87,10
Fold9;93,55;93,55;93,55;93,55;93,55;93,55;93,55;93,55
Fold10;88,71;88,71;88,71;88,71;88,71;88,71;88,71;88,71
