FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;82,61;78,26;86,96;78,26;91,30;91,30;91,30
Fold2;91,30;86,96;69,57;86,96;78,26;78,26;78,26
Fold3;73,91;91,30;73,91;91,30;95,65;82,61;86,96
Fold4;77,27;72,73;72,73;72,73;68,18;81,82;68,18
Fold5;68,18;77,27;68,18;77,27;77,27;77,27;77,27
Fold6;72,73;81,82;86,36;81,82;90,91;81,82;81,82
Fold7;86,36;81,82;81,82;81,82;90,91;86,36;86,36
Fold8;90,91;59,09;86,36;68,18;68,18;63,64;72,73
Fold9;81,82;72,73;77,27;72,73;81,82;81,82;72,73
Fold10;90,91;95,45;100,00;95,45;95,45;95,45;90,91
