FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;59,09;77,27;63,64;63,64;63,64;59,09;81,82;81,82
Fold2;68,18;63,64;63,64;68,18;72,73;68,18;63,64;68,18
Fold3;63,64;50,00;63,64;59,09;54,55;63,64;63,64;63,64
Fold4;68,18;63,64;50,00;59,09;63,64;54,55;59,09;59,09
Fold5;76,19;57,14;76,19;80,95;66,67;76,19;61,90;61,90
Fold6;61,90;61,90;61,90;66,67;71,43;66,67;66,67;71,43
Fold7;52,38;66,67;57,14;52,38;76,19;66,67;76,19;52,38
Fold8;80,95;71,43;66,67;76,19;76,19;80,95;61,90;76,19
Fold9;71,43;66,67;52,38;71,43;61,90;71,43;61,90;66,67
Fold10;61,90;57,14;66,67;66,67;57,14;61,90;66,67;57,14
