FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;91,33;91,33;91,33;91,33;91,33;91,33;91,33;91,33
Fold2;90,17;90,17;90,17;90,17;90,17;90,17;90,17;90,17
Fold3;92,49;92,49;92,49;92,49;92,49;92,49;92,49;92,49
Fold4;91,91;91,91;91,91;91,91;91,91;91,91;91,91;91,91
Fold5;94,80;94,80;94,80;94,80;94,80;94,80;94,80;94,80
Fold6;95,38;95,38;95,38;95,38;95,38;95,38;95,38;95,38
Fold7;90,17;90,17;90,17;90,17;90,17;90,17;90,17;90,17
Fold8;90,17;90,17;90,17;90,17;90,17;90,17;90,17;90,17
Fold9;91,86;91,86;91,86;91,86;91,86;91,86;91,86;91,86
Fold10;95,35;95,35;95,35;95,35;95,35;95,35;95,35;95,35
