dataset: cBinClassDisAttr-uniqueInst.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.540367    200 (A1 = 1)
 0.538532      1 A1
 0.501835    203 num-of-N((A1 = 1) and (A2 = 0))
 0.499541    195 A1_x_A2
 0.474312    206 num-of-N((A1 = 1) and (A2 = 2))
 0.433028     90 A1==1 xor A2==0
 0.433028     63 A1==1 equ A2==0
 0.422936    118 A1==1 impl A2==1
 0.413303     91 A1==1 xor A2==1
 0.413303     64 A1==1 equ A2==1
 0.409633    205 num-of-N((A1 = 1) and (A4 = 2))
 0.406881     92 A1==1 xor A2==2
 0.406881     65 A1==1 equ A2==2
 0.399083    108 A1==1 xor A4==0
 0.399083     81 A1==1 equ A4==0
 0.394495     54 A1==1 or A4==0
 0.391743    197 A1_x_A4
 0.390826     36 A1==1 or A2==0
 0.389908    135 A1==1 impl A4==0
 0.367431     38 A1==1 or A2==2
 0.355046     83 A1==1 equ A4==2
 0.355046    110 A1==1 xor A4==2
 0.348624    109 A1==1 xor A4==1
 0.348624     82 A1==1 equ A4==1
 0.328899     37 A1==1 or A2==1
 0.308716     34 A1==0 or A2==1
 0.30367     117 A1==1 impl A2==0
 0.302752    136 A1==1 impl A4==1
 0.295413    119 A1==1 impl A2==2
 0.291743    177 A1==1 or A2==0 or A4==0
 0.275229    137 A1==1 impl A4==2
 0.261468     56 A1==1 or A4==2
 0.26055      55 A1==1 or A4==1
 0.259633     40 A1==2 or A2==1
 0.255046     87 A1==0 xor A2==0
 0.255046     60 A1==0 equ A2==0
 0.251835     61 A1==0 equ A2==1
 0.251835     88 A1==0 xor A2==1
 0.232569     89 A1==0 xor A2==2
 0.232569     62 A1==0 equ A2==2
 0.229358     93 A1==2 xor A2==0
 0.229358     66 A1==2 equ A2==0
 0.226147    116 A1==0 impl A2==2
 0.225688    180 A1==1 or A2==1 or A4==0
 0.22156     120 A1==2 impl A2==0
 0.22156      94 A1==2 xor A2==1
 0.22156      67 A1==2 equ A2==1
 0.213303    132 A1==0 impl A4==0
 0.212385     68 A1==2 equ A2==2
 0.212385     95 A1==2 xor A2==2
 0.202752     29 A1==1 and A4==2
 0.202752    201 (A1 = 1) and (A4 = 2)
 0.200459    184 A1==1 or A2==2 or A4==1
 0.199083    178 A1==1 or A2==0 or A4==1
 0.195413    105 A1==0 xor A4==0
 0.195413     78 A1==0 equ A4==0
 0.189908     35 A1==0 or A2==2
 0.18945     121 A1==2 impl A2==1
 0.186697    204 num-of-N((A4 = 0) and (A2 = 2) and (A1 = 0))
 0.184862    191 A1==2 or A2==1 or A4==2
 0.182569    179 A1==1 or A2==0 or A4==2
 0.180275    182 A1==1 or A2==1 or A4==2
 0.179817    198 (A1 = 1) and (A2 = 0)
 0.179817      9 A1==1 and A2==0
 0.178899    183 A1==1 or A2==2 or A4==0
 0.176606    185 A1==1 or A2==2 or A4==2
 0.176147    173 A1==0 or A2==1 or A4==2
 0.175229    115 A1==0 impl A2==1
 0.174312     11 A1==1 and A2==2
 0.174312    202 (A1 = 1) and (A2 = 2)
 0.172936    181 A1==1 or A2==1 or A4==1
 0.172936     39 A1==2 or A2==0
 0.172477    190 A1==2 or A2==1 or A4==1
 0.172018     58 A1==2 or A4==1
 0.171101     51 A1==0 or A4==0
 0.169266     33 A1==0 or A2==0
 0.168807    111 A1==2 xor A4==0
 0.168807     84 A1==2 equ A4==0
 0.165138    107 A1==0 xor A4==2
 0.165138     80 A1==0 equ A4==2
 0.160092     57 A1==2 or A4==0
 0.159174    171 A1==0 or A2==1 or A4==0
 0.157798     86 A1==2 equ A4==2
 0.157798    113 A1==2 xor A4==2
 0.153211     85 A1==2 equ A4==1
 0.153211    112 A1==2 xor A4==1
 0.151835     41 A1==2 or A2==2
 0.149541     79 A1==0 equ A4==1
 0.149541    106 A1==0 xor A4==1
 0.149541     59 A1==2 or A4==2
 0.146789    134 A1==0 impl A4==2
