FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;98,96;97,92;98,96;100,00;98,96;97,92;98,96
Fold2;95,83;96,88;95,83;95,83;96,88;91,67;95,83
Fold3;100,00;94,79;100,00;98,96;95,83;92,71;100,00
Fold4;96,88;95,83;96,88;97,92;94,79;96,88;96,88
Fold5;97,92;95,83;97,92;98,96;95,83;91,67;97,92
Fold6;98,96;96,88;98,96;100,00;95,83;95,83;95,83
Fold7;98,96;98,96;98,96;98,96;98,96;98,96;98,96
Fold8;97,92;97,92;97,92;100,00;100,00;95,83;97,92
Fold9;98,95;96,84;98,95;100,00;95,79;91,58;98,95
Fold10;95,79;96,84;95,79;95,79;94,74;95,79;95,79
