FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;69,23;65,38;69,23;69,23;65,38;73,08;73,08;69,23
Fold2;84,62;80,77;84,62;84,62;80,77;84,62;84,62;84,62
Fold3;69,23;73,08;69,23;69,23;69,23;88,46;84,62;65,38
Fold4;84,62;76,92;84,62;84,62;80,77;88,46;88,46;84,62
Fold5;76,92;73,08;76,92;76,92;65,38;73,08;92,31;96,15
Fold6;76,92;76,92;76,92;76,92;73,08;84,62;84,62;84,62
Fold7;96,00;92,00;96,00;96,00;92,00;92,00;92,00;96,00
Fold8;80,00;80,00;80,00;80,00;80,00;80,00;80,00;80,00
Fold9;84,00;88,00;84,00;84,00;88,00;84,00;84,00;84,00
Fold10;80,00;80,00;80,00;80,00;76,00;88,00;88,00;80,00
