dataset: rConcept.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.10752616     1018 A2==(40.007443-60.002248] impl A4==(20.059499-40.041335]
 0.10699276     1020 A2==(40.007443-60.002248] impl A4==(60.02317-80.005006]
 0.10606547      918 A2==(40.007443-60.002248] impl A3==(20.024557-40.012885]
 0.1055775      1120 A2==(40.007443-60.002248] impl A5==(59.99113-79.973032]
 0.10496372      919 A2==(40.007443-60.002248] impl A3==(40.012885-60.001214]
 0.10395045      917 A2==(40.007443-60.002248] impl A3==(-inf-20.024557]
 0.10074622      922 A2==(60.002248-79.997052] impl A3==(-inf-20.024557]
 0.10029924     1019 A2==(40.007443-60.002248] impl A4==(40.041335-60.02317]
 0.10014014      923 A2==(60.002248-79.997052] impl A3==(20.024557-40.012885]
 0.09741262     1121 A2==(40.007443-60.002248] impl A5==(79.973032-inf)
 0.09621799     1119 A2==(40.007443-60.002248] impl A5==(40.009229-59.99113]
 0.09563952     1021 A2==(40.007443-60.002248] impl A4==(80.005006-inf)
 0.09471574     1118 A2==(40.007443-60.002248] impl A5==(20.027327-40.009229]
 0.09338876      729 A1==(79.948349-inf) xor A2==(40.007443-60.002248]
 0.09338876      504 A1==(79.948349-inf) equ A2==(40.007443-60.002248]
 0.0933426       572 A2==(60.002248-79.997052] equ A4==(-inf-20.059499]
 0.0933426       797 A2==(60.002248-79.997052] xor A4==(-inf-20.059499]
 0.09015743      924 A2==(60.002248-79.997052] impl A3==(40.012885-60.001214]
 0.09001985     1117 A2==(40.007443-60.002248] impl A5==(-inf-20.027327]
 0.08982816      467 A2==(40.007443-60.002248] equ A3==(-inf-20.024557]
 0.08982816      692 A2==(40.007443-60.002248] xor A3==(-inf-20.024557]
 0.08969678      242 A2==(40.007443-60.002248] or A3==(-inf-20.024557]
 0.08869243      696 A2==(40.007443-60.002248] xor A3==(79.989542-inf)
 0.08869243      471 A2==(40.007443-60.002248] equ A3==(79.989542-inf)
 0.08852754     1025 A2==(60.002248-79.997052] impl A4==(60.02317-80.005006]
 0.0850691       920 A2==(40.007443-60.002248] impl A3==(60.001214-79.989542]
 0.08463366      792 A2==(40.007443-60.002248] xor A4==(-inf-20.059499]
 0.08463366      567 A2==(40.007443-60.002248] equ A4==(-inf-20.059499]
 0.08445255      348 A2==(60.002248-79.997052] or A4==(20.059499-40.041335]
 0.08211733      801 A2==(60.002248-79.997052] xor A4==(80.005006-inf)
 0.08211733      576 A2==(60.002248-79.997052] equ A4==(80.005006-inf)
 0.08171637      701 A2==(60.002248-79.997052] xor A3==(79.989542-inf)
 0.08171637      476 A2==(60.002248-79.997052] equ A3==(79.989542-inf)
 0.08167042      574 A2==(60.002248-79.997052] equ A4==(40.041335-60.02317]
 0.08167042      799 A2==(60.002248-79.997052] xor A4==(40.041335-60.02317]
 0.08079066      505 A1==(79.948349-inf) equ A2==(60.002248-79.997052]
 0.08079066      730 A1==(79.948349-inf) xor A2==(60.002248-79.997052]
 0.08070616     1017 A2==(40.007443-60.002248] impl A4==(-inf-20.059499]
