FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;84,06;86,96;78,26;85,51;86,96;86,96;86,96;86,96
Fold2;75,36;86,96;71,01;76,81;88,41;88,41;88,41;88,41
Fold3;84,06;88,41;79,71;79,71;92,75;92,75;88,41;92,75
Fold4;78,26;86,96;73,91;79,71;86,96;85,51;86,96;79,71
Fold5;72,46;78,26;73,91;72,46;81,16;79,71;78,26;78,26
Fold6;75,36;86,96;68,12;78,26;86,96;89,86;88,41;85,51
Fold7;72,46;81,16;65,22;73,91;78,26;85,51;82,61;82,61
Fold8;75,36;85,51;68,12;78,26;85,51;88,41;85,51;85,51
Fold9;81,16;86,96;73,91;84,06;85,51;85,51;84,06;84,06
Fold10;76,81;81,16;78,26;84,06;84,06;85,51;84,06;84,06
