FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;77,78;85,19;77,78;85,19;77,78;85,19;85,19
Fold2;77,78;74,07;77,78;74,07;77,78;74,07;74,07
Fold3;77,78;81,48;77,78;77,78;77,78;81,48;81,48
Fold4;77,78;85,19;77,78;81,48;77,78;85,19;85,19
Fold5;77,78;85,19;77,78;85,19;77,78;85,19;85,19
Fold6;81,48;85,19;81,48;85,19;81,48;85,19;81,48
Fold7;81,48;81,48;81,48;81,48;81,48;85,19;81,48
Fold8;80,77;84,62;80,77;84,62;80,77;84,62;84,62
Fold9;80,77;88,46;80,77;88,46;80,77;88,46;88,46
Fold10;80,77;80,77;80,77;80,77;80,77;76,92;80,77
