FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;95,83;92,71;95,83;95,83;96,88;90,62;95,83
Fold2;94,79;87,50;94,79;92,71;91,67;86,46;94,79
Fold3;100,00;83,33;100,00;88,54;85,42;84,38;100,00
Fold4;94,79;82,29;94,79;87,50;88,54;82,29;94,79
Fold5;93,75;83,33;93,75;85,42;87,50;83,33;93,75
Fold6;96,88;82,29;96,88;86,46;82,29;81,25;96,88
Fold7;97,92;88,54;97,92;92,71;94,79;87,50;97,92
Fold8;95,83;92,71;95,83;94,79;93,75;88,54;95,83
Fold9;96,84;87,37;96,84;92,63;88,42;87,37;96,84
Fold10;96,84;91,58;96,84;91,58;90,53;91,58;96,84
