FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;92,59;92,59;92,59;92,59;92,59;92,59;92,59;92,59
Fold2;81,48;81,48;81,48;81,48;81,48;81,48;81,48;81,48
Fold3;81,48;81,48;81,48;81,48;81,48;81,48;81,48;81,48
Fold4;92,59;92,59;92,59;92,59;92,59;92,59;92,59;92,59
Fold5;81,48;81,48;81,48;81,48;81,48;81,48;81,48;81,48
Fold6;74,07;74,07;74,07;74,07;74,07;74,07;74,07;74,07
Fold7;77,78;77,78;77,78;77,78;77,78;77,78;77,78;77,78
Fold8;77,78;77,78;77,78;77,78;77,78;77,78;77,78;77,78
Fold9;81,48;81,48;81,48;81,48;81,48;81,48;81,48;81,48
Fold10;85,19;85,19;85,19;85,19;85,19;85,19;85,19;85,19
