dataset: Balance scale.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.09521     59 left-distance DIVIDE right-weight
 0.09414     63 left-distance DIVIDE right-distance
 0.09349      2 left-distance
 0.09289     54 left-weight SUBTRACT right-distance
 0.09013     81 left-distance DIFF right-weight
 0.08989     30 left-weight==B2of2 impl left-distance==B2of2
 0.08954    123 (left-distance >= 4) and (right-distance <= 4)
 0.08912    112 (left-weight >= 4) and (right-distance <= 3)
 0.08909     61 left-weight DIVIDE right-weight
 0.08754     82 left-weight DIFF right-weight
 0.0867      65 left-weight DIVIDE right-distance
 0.0862      11 right-weight==B2of2 or right-distance==B2of2
 0.08229     84 left-weight DIFF right-distance
 0.08111     83 left-distance DIFF right-distance
 0.079       62 right-weight DIVIDE left-weight
 0.07501     66 right-distance DIVIDE left-weight
 0.07366     98 (left-distance >= 4) and (right-weight <= 3) and (right-distance <= 3) and (left-weight >= 2)
 0.07331    125 (right-weight <= 1) and (left-distance >= 2) and (left-weight >= 3)
 0.07282     93 (right-weight <= 3) and (left-distance >= 4) and (left-weight >= 4)
 0.07272    106 (right-distance <= 1) and (left-distance >= 3) and (left-weight >= 2)
 0.0718     130 num-of-N((left-distance >= 5) and (left-weight >= 2))
 0.07156      1 left-weight
 0.0711      97 (right-weight <= 1) and (left-distance >= 3) and (left-weight >= 2)
 0.07029    105 (left-distance >= 4) and (left-weight >= 4) and (right-distance <= 3)
 0.07021     95 (right-distance <= 1) and (left-distance >= 2) and (left-weight >= 3)
 0.06749    124 (right-distance <= 1) and (right-weight <= 3)
 0.06749    100 (right-weight <= 3) and (right-distance <= 1)
 0.06705    126 (right-weight <= 3) and (right-distance <= 3) and (left-weight >= 4) and (left-distance >= 2)
 0.06681    111 (right-weight <= 1) and (right-distance <= 3)
 0.06441     57 left-weight DIVIDE left-distance
 0.06227    103 (left-distance >= 2) and (left-weight >= 5)
 0.06199     73 right-weight LESSTHAN right-distance
 0.06176     56 right-distance DIVIDE right-weight
 0.05998     55 right-weight DIVIDE right-distance
 0.05744     71 left-distance MULTIPLY right-distance
 0.05693     69 left-distance MULTIPLY right-weight
 0.05655     58 left-distance DIVIDE left-weight
 0.05639     16 left-weight==B2of2 or right-distance==B2of2
 0.05183     70 left-weight MULTIPLY right-weight
 0.05086     49 right-weight SUBTRACT right-distance
 0.0507      94 (left-distance >= 5) and (left-weight >= 2)
 0.05053     72 left-weight MULTIPLY right-distance
 0.04855     74 left-weight LESSTHAN left-distance
 0.0474      50 left-weight SUBTRACT left-distance
 0.04727     47 left-distance ADD right-distance
 0.04704     45 left-distance ADD right-weight
 0.04693     14 left-weight==B2of2 or right-weight==B2of2
 0.04574     15 left-distance==B2of2 or right-distance==B2of2
 0.04442     13 left-distance==B2of2 or right-weight==B2of2
 0.04347    135 num-of-N((left-distance >= 5) and (right-weight <= 4))
 0.04165     48 left-weight ADD right-distance
 0.04101     46 left-weight ADD right-weight
 0.03939    121 (left-weight >= 5) and (right-weight <= 4) and (left-distance >= 3) and (right-distance <= 4)
 0.02817     79 right-weight DIFF right-distance
 0.0256      99 (left-distance >= 5) and (right-weight <= 4)
 0.02408     80 left-weight DIFF left-distance
 0.01812     41 left-weight==B2of2 or right-weight==B2of2 or right-distance==B2of2
 0.01582     12 left-weight==B2of2 or left-distance==B2of2
 0.01405     39 left-distance==B2of2 or right-weight==B2of2 or right-distance==B2of2
 0.00636     40 left-weight==B2of2 or left-distance==B2of2 or right-distance==B2of2
 0.00551     42 left-weight==B2of2 or left-distance==B2of2 or right-weight==B2of2


								--------------
									Fold  2
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.35       194 num-of-N((left-distance >= 3) and (right-distance <= 2) and (left-weight >= 3))
 0.34794    187 num-of-N((right-weight <= 2) and (left-distance >= 3) and (left-weight >= 3))
 0.3368     195 num-of-N((right-distance <= 2) and (left-weight >= 3) and (right-weight <= 2))
 0.31994    178 num-of-N((left-distance >= 3) and (right-weight <= 3) and (left-weight >= 3))
 0.29492    177 num-of-N((left-weight >= 4) and (right-distance <= 3) and (left-distance >= 2) and (right-weight <= 3))
 0.29212    181 num-of-N((left-distance >= 3) and (right-weight <= 2))
 0.29212    168 num-of-N((right-distance <= 1) and (left-distance >= 2) and (left-weight >= 3))
 0.29171    169 num-of-N((left-distance >= 3) and (right-distance <= 2))
 0.28888    130 left-distance_x_right-distance
 0.28823    127 left-distance_x_right-weight
 0.27908    128 right-weight_x_right-distance
 0.27594    180 num-of-N((right-distance <= 1) and (left-distance >= 3) and (left-weight >= 2))
 0.26161    174 num-of-N((right-weight <= 3) and (left-distance >= 2) and (right-distance <= 3))
 0.25802    196 num-of-N((right-weight <= 3) and (right-distance <= 3) and (left-distance >= 4))
 0.25711    186 num-of-N((left-distance >= 2) and (right-distance <= 3) and (left-weight >= 4))
 0.25491    183 num-of-N((left-distance >= 2) and (right-weight <= 1) and (left-weight >= 2))
 0.25491    184 num-of-N((right-weight <= 1) and (left-distance >= 2) and (left-weight >= 2))
 0.25422    129 left-weight_x_left-distance
 0.25359    115 left-distance LESSTHAN right-weight
 0.24842      6 right-weight==B2of2 and right-distance==B2of2
 0.24317    190 num-of-N((right-distance <= 2) and (left-weight >= 3))
 0.24299     34 left-distance==B2of2 equ right-distance==B2of2
 0.24299     46 left-distance==B2of2 xor right-distance==B2of2
 0.24186     30 right-weight==B2of2 equ right-distance==B2of2
 0.24186     42 right-weight==B2of2 xor right-distance==B2of2
 0.24155    173 num-of-N((right-weight <= 2) and (left-weight >= 3))
 0.24129    185 num-of-N((left-distance >= 3) and (left-weight >= 4))
 0.24039     41 left-distance==B2of2 xor right-weight==B2of2
 0.24039     29 left-distance==B2of2 equ right-weight==B2of2
 0.23837    118 left-distance LESSTHAN right-distance
 0.2377     131 left-weight_x_right-weight
 0.23366    132 left-weight_x_right-distance
 0.22774    192 num-of-N((left-distance >= 2) and (right-weight <= 1))
 0.22758     45 left-weight==B3of3 xor left-distance==B2of2
 0.22758     33 left-weight==B3of3 equ left-distance==B2of2
 0.22556    193 num-of-N((left-distance >= 2) and (right-distance <= 1))
 0.21681    172 num-of-N((right-distance <= 3) and (left-weight >= 2) and (right-weight <= 3))
 0.2142     170 num-of-N((left-weight >= 3) and (right-distance <= 1))
 0.20663      9 left-weight==B3of3 and left-distance==B2of2
 0.19885     23 left-weight==B1of3 or right-weight==B2of2
 0.19727    120 left-weight LESSTHAN right-distance
 0.19597     52 left-weight==B3of3 xor right-distance==B2of2
 0.19597     40 left-weight==B3of3 equ right-distance==B2of2
 0.19421    146 (left-distance >= 3) and (right-weight <= 3) and (left-weight >= 3)
 0.19339     49 left-weight==B3of3 xor right-weight==B2of2
 0.19339     37 left-weight==B3of3 equ right-weight==B2of2
 0.19038     47 left-weight==B1of3 xor right-weight==B2of2
 0.19038     35 left-weight==B1of3 equ right-weight==B2of2
 0.18393    119 left-weight LESSTHAN right-weight
 0.18336     26 left-weight==B1of3 or right-distance==B2of2
 0.18278    191 num-of-N((left-weight >= 4) and (left-distance >= 4))
 0.18278    175 num-of-N((left-distance >= 4) and (left-weight >= 4))
 0.17987    135 (left-distance >= 3) and (right-distance <= 2)
 0.17987     58 left-distance==B2of2 impl right-distance==B2of2
 0.17726    157 (left-distance >= 3)
 0.17705     38 left-weight==B1of3 equ right-distance==B2of2
 0.17705     50 left-weight==B1of3 xor right-distance==B2of2
 0.17685     32 left-weight==B2of3 equ left-distance==B2of2
 0.17685     44 left-weight==B2of3 xor left-distance==B2of2
 0.1761      31 left-weight==B1of3 equ left-distance==B2of2
 0.1761      43 left-weight==B1of3 xor left-distance==B2of2
 0.17605     61 left-weight==B3of3 impl right-weight==B2of2
 0.17605    141 (right-weight <= 2) and (left-weight >= 3)
 0.17164    189 num-of-N((left-weight >= 4) and (right-distance <= 3))
 0.16904    179 num-of-N((left-weight >= 2) and (right-weight <= 1))
 0.16841    182 num-of-N((left-weight >= 2) and (right-distance <= 1))
 0.16766    171 num-of-N((left-weight >= 4) and (right-weight <= 3))
 0.16131     53 left-distance==B2of2 impl right-weight==B2of2
 0.16131    149 (left-distance >= 3) and (right-weight <= 2)
 0.1575     161 (right-distance <= 2)
 0.15257     24 left-weight==B2of3 or right-weight==B2of2
 0.15134    153 (left-distance >= 3) and (left-weight >= 4)
 0.1508     159 (right-distance <= 2) and (left-weight >= 3)
 0.1508      64 left-weight==B3of3 impl right-distance==B2of2
 0.15052      5 left-distance==B2of2 and right-weight==B2of2
 0.15007     65 left-distance==B2of2 and right-weight==B2of2 and right-distance==B2of2
 0.15007     19 left-weight==B1of3 or left-distance==B2of2
 0.14913     48 left-weight==B2of3 xor right-weight==B2of2
 0.14913     36 left-weight==B2of3 equ right-weight==B2of2
 0.14752    147 (left-weight >= 2) and (right-weight <= 1)
 0.14699     10 left-distance==B2of2 and right-distance==B2of2
 0.14502     39 left-weight==B2of3 equ right-distance==B2of2
 0.14502     51 left-weight==B2of3 xor right-distance==B2of2
 0.14229    151 (left-distance >= 2) and (right-weight <= 1) and (left-weight >= 2)
 0.14229    152 (right-weight <= 1) and (left-distance >= 2) and (left-weight >= 2)
 0.14219     74 left-weight==B3of3 and right-weight==B2of2 and right-distance==B2of2
 0.13772    163 (left-distance >= 2) and (right-distance <= 1)
 0.13741    176 num-of-N((left-distance >= 2) and (left-weight >= 5))
 0.13702    154 (left-distance >= 2) and (right-distance <= 3) and (left-weight >= 4)
 0.13586    155 (right-weight <= 2) and (left-distance >= 3) and (left-weight >= 3)
 0.13572    142 (right-weight <= 3) and (left-distance >= 2) and (right-distance <= 3)
 0.13485     57 left-weight==B3of3 impl left-distance==B2of2
 0.13361     16 left-weight==B3of3 and right-distance==B2of2
 0.13284    150 (left-weight >= 2) and (right-distance <= 1)
 0.13232     27 left-weight==B2of3 or right-distance==B2of2
 0.13093     68 left-weight==B3of3 and left-distance==B2of2 and right-distance==B2of2
 0.13087    164 (left-distance >= 3) and (right-distance <= 2) and (left-weight >= 3)
 0.12987     13 left-weight==B3of3 and right-weight==B2of2
 0.12698    137 (right-weight <= 1)
 0.12688    162 (left-distance >= 2) and (right-weight <= 1)
 0.12669     20 left-weight==B2of3 or left-distance==B2of2
 0.12593    110 right-weight MULTIPLY right-distance
 0.12228    139 (right-distance <= 3) and (left-weight >= 2) and (right-weight <= 3)
 0.12218     71 left-weight==B3of3 and left-distance==B2of2 and right-weight==B2of2
 0.12062     54 right-weight==B2of2 impl right-distance==B2of2
 0.12027    124 left-distance DIFF right-distance
 0.11862     91 left-distance SUBTRACT right-weight
 0.11772      2 left-distance
 0.11707     94 left-distance SUBTRACT right-distance
 0.11387    140 (left-distance >= 4)
 0.10992    138 (left-weight >= 4) and (right-weight <= 3)
 0.10975    111 left-weight MULTIPLY left-distance
 0.10947     98 right-weight DIVIDE left-distance
 0.10718     86 right-weight ADD right-distance
 0.10366    103 left-distance DIVIDE right-distance
 0.10341      3 right-weight
 0.10338    104 right-distance DIVIDE left-distance
 0.10241    121 left-distance DIFF right-weight
 0.10223     87 left-weight ADD left-distance
 0.10121      4 right-distance
