FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;92,49;92,49;92,49;92,49;92,49;92,49;92,49;92,49
Fold2;91,33;91,33;91,33;91,33;91,33;91,33;91,33;91,33
Fold3;93,06;93,06;93,06;93,06;93,06;93,06;93,06;93,06
Fold4;91,91;91,91;91,91;91,91;91,91;91,91;91,91;91,91
Fold5;93,64;93,64;93,64;93,64;93,64;93,64;93,64;93,64
Fold6;94,80;94,80;94,80;94,80;94,80;94,80;94,80;94,80
Fold7;95,38;95,38;95,38;95,38;95,38;95,38;95,38;95,38
Fold8;93,64;93,64;93,64;93,64;93,64;93,64;93,64;93,64
Fold9;94,77;94,77;94,77;94,77;94,77;94,77;94,77;94,77
Fold10;94,19;94,19;94,19;94,19;94,19;94,19;94,19;94,19
