FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;59,09;68,18;59,09;68,18;63,64;59,09;68,18;72,73
Fold2;68,18;63,64;63,64;63,64;68,18;68,18;59,09;68,18
Fold3;63,64;50,00;63,64;59,09;54,55;63,64;63,64;63,64
Fold4;68,18;59,09;63,64;63,64;63,64;50,00;59,09;54,55
Fold5;76,19;57,14;76,19;76,19;66,67;85,71;66,67;66,67
Fold6;61,90;61,90;57,14;57,14;66,67;66,67;61,90;71,43
Fold7;52,38;66,67;52,38;57,14;66,67;52,38;71,43;52,38
Fold8;80,95;61,90;71,43;76,19;61,90;80,95;66,67;66,67
Fold9;71,43;66,67;52,38;66,67;61,90;71,43;66,67;66,67
Fold10;61,90;57,14;66,67;66,67;57,14;61,90;66,67;57,14
